feature_name,feature_asof_rule,used_in_deterministic_prephase
launch_episode_id,feature_asof_date <= state_signal_date,True
instrument,feature_asof_date <= state_signal_date,True
split,feature_asof_date <= state_signal_date,True
state_signal_date,feature_asof_date <= state_signal_date,True
action_effective_date,feature_asof_date <= state_signal_date,True
action_execution_price,feature_asof_date <= state_signal_date,True
state_row_id,feature_asof_date <= state_signal_date,True
r03_first_exposure_signal_date,feature_asof_date <= state_signal_date,True
r03_first_exposure_execution_date,feature_asof_date <= state_signal_date,True
r03_first_exposure_price,feature_asof_date <= state_signal_date,True
r03_confirm_add_signal_date,feature_asof_date <= state_signal_date,True
r03_confirm_add_execution_date,feature_asof_date <= state_signal_date,True
r03_confirm_add_price,feature_asof_date <= state_signal_date,True
current_exposure_weight_before_action,feature_asof_date <= state_signal_date,True
active_position_state,feature_asof_date <= state_signal_date,True
has_probe_entry_executed,feature_asof_date <= state_signal_date,True
has_confirm_add_executed,feature_asof_date <= state_signal_date,True
days_since_first_exposure,feature_asof_date <= state_signal_date,True
days_since_confirm_add,feature_asof_date <= state_signal_date,True
remaining_days_to_R03_H10_natural_exit,feature_asof_date <= state_signal_date,True
current_close,feature_asof_date <= state_signal_date,True
current_return_from_first_exposure,feature_asof_date <= state_signal_date,True
current_return_from_confirm_add,feature_asof_date <= state_signal_date,True
current_unrealized_return_weighted,feature_asof_date <= state_signal_date,True
max_favorable_excursion_since_first_exposure,feature_asof_date <= state_signal_date,True
max_adverse_excursion_since_first_exposure,feature_asof_date <= state_signal_date,True
post_confirm_high_to_date,feature_asof_date <= state_signal_date,True
drawdown_from_post_confirm_high,feature_asof_date <= state_signal_date,True
giveback_from_peak_profit,feature_asof_date <= state_signal_date,True
current_profit_cushion,feature_asof_date <= state_signal_date,True
distance_to_first_exposure_price,feature_asof_date <= state_signal_date,True
distance_to_confirm_add_price,feature_asof_date <= state_signal_date,True
active_stop_floor,feature_asof_date <= state_signal_date,True
active_stop_source,feature_asof_date <= state_signal_date,True
sell_executable_next_open,feature_asof_date <= state_signal_date,True
blocked_sell_reason_next_open,feature_asof_date <= state_signal_date,True
buy_or_add_executable_next_open,feature_asof_date <= state_signal_date,True
blocked_buy_reason_next_open,feature_asof_date <= state_signal_date,True
r02_P_target_first_at_probe,feature_asof_date <= state_signal_date,True
r02_P_stop_first_at_probe,feature_asof_date <= state_signal_date,True
r02_P_neither_at_probe,feature_asof_date <= state_signal_date,True
r02_score_probe_day_at_probe,feature_asof_date <= state_signal_date,True
r02_selected_threshold,feature_asof_date <= state_signal_date,True
r02_selected_stop_risk_ceiling,feature_asof_date <= state_signal_date,True
feature_asof_date,feature_asof_date <= state_signal_date,True
feature_asof_violation_flag,feature_asof_date <= state_signal_date,True
