artifact_name,artifact_path,authority_role,artifact_status,required_for_requirement,schema_version,row_count,content_hash,producer_command
requirement_05_post_exposure_state_panel.parquet,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/cache/requirement_05_post_exposure_state_panel.parquet,cache,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,4591,e67b406ca744d76780072d7e1cfb427e772cfca61736f2a4bb1e2ec1bbb61f68,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_continuation_training_panel.parquet,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/cache/requirement_05_continuation_training_panel.parquet,cache,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,4591,e67b406ca744d76780072d7e1cfb427e772cfca61736f2a4bb1e2ec1bbb61f68,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_policy_action_panel.parquet,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/cache/requirement_05_policy_action_panel.parquet,cache,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,8644,07bcb0acc80fe8b577e481587b489f4f0ffcee5a79ea5a3eb002e7e4b9a4a424,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_policy_exposure_daily_panel.parquet,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/cache/requirement_05_policy_exposure_daily_panel.parquet,cache,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,64431,b8b89df6ba8a635f76d02bfe88acdb8105683505acecc519b629c96aa13b29bc,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_matched_random_exit_panel.parquet,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/cache/requirement_05_matched_random_exit_panel.parquet,cache,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,900,09c73ed672b75c73fb50c013c2e3254b69daf031c869dc3a8a83ed5c21421ea7,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_continuation_prediction_panel.parquet,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/cache/requirement_05_continuation_prediction_panel.parquet,cache,not_required_stage_disabled,False,requirement_05_daily_continuation_profit_protection_policy_v1,0,,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_sample_power_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_sample_power_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,3,e8d191e7b99503bf58306ea113fd6c47a9f0f27ad8fe87939105ebbc572dd7ee,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_stage_order_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_stage_order_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,5,9a6625e0bd13f04c09ba473740996b6bebfb3d2ab5e2eda6750e83705a7f4098,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_feature_dictionary.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_feature_dictionary.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,46,e9f1a5b267529550fc4cc1d9c27459fe420fd724f82d1fe69108bf02a2ac0ec8,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_feature_asof_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_feature_asof_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,1,65787aee48650553062a01add62d762e804639558854c66362ac47eb8e0d9c4e,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_label_metric_dictionary.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_label_metric_dictionary.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,2,e57952a99087dad8aa6633c7591de1746c52c5d11981ea3ebeea8c243e5d26cb,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_model_config_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_model_config_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,1,745e106da34ba59a872628c6018f46deb080eff613c8f6731905998e1d4a12b9,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_deterministic_prephase_results.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_deterministic_prephase_results.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,9,61cb2fd5288c392c585a8b64eb2c2b2dcee7dcba3b87b4c4bbbc53783f45d5f4,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_policy_grid_results.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_policy_grid_results.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,0,bf8ddd3212860840a83373aa530e83d4bab33019043974f99ddb4a0a5bd087aa,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_selected_policy.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_selected_policy.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,1,5157a2efbd7795902ba54d3daa3a528e176aa3584d362ed7cd39de580e506905,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_schedule_metrics.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_schedule_metrics.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,18,09051dd5c7434384126ca74b62f4a2d3218b8dd15961bc70f509b98729c1e606,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_gate_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_gate_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,15,d4c0cd2e33224892f4e3a5d65c248327f2e76e07d9bda4ee732ccc574a4fa8dd,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_profit_protection_attribution.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_profit_protection_attribution.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,14664,1745340c1e5b5e937506faf47f698b6d462aaa31858e9e3a31c5bcf493d8be85,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_action_reason_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_action_reason_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,41,a05e5c58e088352ae61efd92383dcd9927949715061ebb5abd07b96622b3f5e3,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_R03_replay_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_R03_replay_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,3,d113f611286eec909748d2b1d4d02f41d1b1e508a62e5fb1bb4d7809bee78bfa,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_R04_comparison_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_R04_comparison_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,42,1378da8bcb58c68fbe83d87aca664bc85ab4ce9c53d4dad57fc96f99325f18ee,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_R04_regime_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_R04_regime_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,8,bc940813a2813d01826b853d128ef0ea0733052cfead1995d3a48cf3fe700cf3,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_matched_random_exit_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_matched_random_exit_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,9,1bae6fccda408f2b8750002ca8c90c0c49145308886b099a5c07b2ed5f122544,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_concentration_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_concentration_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,18,a733ab9caeb4444a72af25ca3eb24c36aa0bcdd1ff5c9873af08ef637d3ed511,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_blocked_exit_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_blocked_exit_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,18,af5f301dca3c649427daf033cbf769403d3350e036a292095728bc4ec96e478e,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_robustness_nonselection_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_robustness_nonselection_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,1,903b17eea675a24d3080d8c7749e4cd0858220b5dd5c7921004ce67a2ec4dda1,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_forbidden_recommendation_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_forbidden_recommendation_audit.csv,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,4,78757753ada150afb408c64a48a6b94ec724350a4a0c080fd44a2792706a8fa5,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_report.md,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_report.md,report,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,1,c867d528f8738d9f27f5d378bf1619bda13b8ceffd26b788e0e1b7e9b68f3745,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_model_calibration_audit.csv,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/reports/requirement_05_model_calibration_audit.csv,report,not_required_stage_disabled,False,requirement_05_daily_continuation_profit_protection_policy_v1,0,,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
requirement_05_continuation_policy_manifest.json,ep2/outputs/requirement_05_daily_continuation_profit_protection_policy/manifests/requirement_05_continuation_policy_manifest.json,manifest,required_always,True,requirement_05_daily_continuation_profit_protection_policy_v1,1,8b122b3d98a61df4d5db71596f0e034ca8c2b3883f8899f86e327a762fea5c84,uv run python ep2/scripts/run_requirement_05_continuation_policy.py --config ep2/configs/requirement_05_daily_continuation_profit_protection_policy.yaml
