family,horizon,split,fold_id,fold_anchor_controlled_mean_spread,fold_anchor_offset_spread_min,fold_positive_anchor_offset_count,fold_full_daily_mean_spread,fold_full_daily_median_spread,fold_positive_instrument_share,fold_valid_instrument_count,fold_full_valid_instrument_count,fold_partial_event_only_instrument_count,fold_valid_signal_date_count,fold_decile_monotonicity_score,fold_top1_instrument_contribution_share,fold_top5_instrument_contribution_share,fold_top1_industry_contribution_share,fold_contribution_share_of_total_abs_contribution
volume_surge_money_flow,H3,train_oof_unseen,0,0.001905042891127831,0.0002590435772909229,3,0.001833194768828216,0.0013809820904932,0.9117647058823529,34,34,16,159,0.9272727272727272,0.10322315202774737,0.35414962690816726,0.127927632358088,0.1901077595971883
volume_surge_money_flow,H3,train_oof_unseen,1,-0.0007916909556424358,-0.0021194475793130576,1,-0.0006807413532785794,0.0013309376971846181,0.7317073170731707,41,41,13,179,0.8303030303030302,0.055789722143080964,0.24701483524703602,0.15426759564552778,0.1562436923755614
volume_surge_money_flow,H3,train_oof_unseen,2,-0.0015582607035219533,-0.0038805499403172794,1,-0.001430664841558921,-0.0004058204597315006,0.7073170731707317,41,41,14,181,0.49090909090909085,0.10055223165694414,0.3249208532170578,0.19334608778167994,0.003177557647240472
volume_surge_money_flow,H3,train_oof_unseen,3,-0.0026785192045993378,-0.004440402134689731,0,-0.0026452202108584997,0.0004199737996369579,0.7755102040816326,49,49,16,237,0.8666666666666665,0.08742412758910796,0.2658026585368636,0.19344228257742213,0.03896916385003357
volume_surge_money_flow,H3,train_oof_unseen,4,-0.0019562138113813645,-0.007582902286071572,1,-0.0015376915798372332,-0.001992276506236082,0.717948717948718,39,39,16,217,0.5878787878787878,0.07630663763307839,0.27283064121085765,0.10345587700909896,0.06106524969366866
volume_surge_money_flow,H3,validation_oof_unseen,0,0.0032340394376628987,-0.0022438500486601236,2,0.003448855427663056,0.005512565980285955,0.5681818181818182,44,44,2,133,0.3939393939393939,0.07134520493681837,0.28535399720608845,0.11246485628966578,0.04666571412055917
volume_surge_money_flow,H3,validation_oof_unseen,1,0.0061916125084437055,0.005792073213214723,3,0.0061625551051543255,0.005623155593757563,0.6078431372549019,51,51,1,110,0.8303030303030302,0.10318266887095875,0.36576816271093987,0.15862413290392488,0.23603132344822095
volume_surge_money_flow,H3,validation_oof_unseen,2,-0.0010219892241598377,-0.0037884798395981267,1,-0.0009532203866084844,-0.00021928294482966547,0.4375,48,48,2,130,-0.4666666666666666,0.1967982785575455,0.42481317357621845,0.28446797045546524,0.003010942184498408
volume_surge_money_flow,H3,validation_oof_unseen,3,0.0008610063538543312,-0.003024640141683179,2,0.0008922135248166607,0.005160779648647392,0.6415094339622641,53,53,7,156,0.18787878787878787,0.26495629811128024,0.43676067357514997,0.2683645910487802,0.02501739501338304
volume_surge_money_flow,H3,validation_oof_unseen,4,0.005273297730140492,-2.2138642823233524e-05,2,0.00555965363069989,0.006996743415477385,0.5,44,44,2,119,-0.006060606060606061,0.08938059462705666,0.3030951013503241,0.16527781545841216,0.14763649990316421
