family,horizon,split,fold_id,decile,event_count,mean_label,decile_monotonicity_score
volume_surge_money_flow,H3,train_oof_unseen,aggregate,1,15721,-0.003885412995954252,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,2,15747,-0.002037828332836459,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,3,15892,-0.0019889858650679704,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,4,16314,-0.002209394387939241,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,5,16349,-0.0011872736979778047,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,6,16588,-0.0008765613160331577,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,7,16796,-0.0006619450062769947,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,8,16907,-6.726584283634176e-05,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,9,17051,0.00044327640553035966,0.9515151515151514
volume_surge_money_flow,H3,train_oof_unseen,aggregate,10,17020,0.00014491022433114773,0.9515151515151514
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,1,7938,-0.0021050728510191036,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,2,8255,-0.001643686782133563,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,3,8888,-0.0012896358569686748,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,4,9515,-0.0010849908260648833,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,5,10068,-0.002053135254088605,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,6,10391,-0.0017381748146416296,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,7,11251,-0.0011615717372949943,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,8,11799,-0.0010802745032754196,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,9,12829,-0.0016060207088727917,0.6121212121212121
volume_surge_money_flow,H3,validation_oof_unseen,aggregate,10,14339,-0.0009535695869346115,0.6121212121212121
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,1,12971,-0.0004509013674798674,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,2,11542,-0.0004877869794219737,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,3,11440,8.08407600834726e-05,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,4,10790,0.00011608095046489983,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,5,10316,-8.860369773031304e-05,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,6,10204,0.00033457018319357144,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,7,10108,0.0013837659245522459,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,8,9654,0.0018590401708354328,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,9,8864,0.003025800299910497,0.9515151515151514
volume_surge_money_flow,H3,robustness_oof_unseen,aggregate,10,7766,0.003486351859147083,0.9515151515151514
volume_price_correlation,H3,train_oof_unseen,aggregate,1,15710,-0.0017978910347338963,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,2,16155,-0.0012674479826832014,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,3,16353,-0.0009864966326744546,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,4,16518,-0.00095737946998456,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,5,16406,-0.0016779544955335503,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,6,16655,-0.0008410373608361281,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,7,16533,-0.000786407094991538,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,8,16615,-0.0009324610052547561,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,9,16673,-0.0015872603519478284,0.33333333333333326
volume_price_correlation,H3,train_oof_unseen,aggregate,10,16716,-0.0011850348240794496,0.33333333333333326
volume_price_correlation,H3,validation_oof_unseen,aggregate,1,9048,-0.0008160880521557137,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,2,9925,-0.00031942328214783146,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,3,10450,-0.0009988711414815584,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,4,11144,-0.001364638397362564,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,5,11314,-0.0021090269297236257,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,6,11546,-0.0015507196828306643,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,7,11621,-0.002594337543612369,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,8,11054,-0.002107089338436811,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,9,10175,-0.0014409152481113137,-0.35757575757575755
volume_price_correlation,H3,validation_oof_unseen,aggregate,10,8996,-0.0005358938585691714,-0.35757575757575755
volume_price_correlation,H3,robustness_oof_unseen,aggregate,1,10648,0.00045014802739908364,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,2,10950,0.0005187588474617886,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,3,10510,0.0014472050335673835,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,4,10281,0.0005295167610571146,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,5,10459,-0.00010076143667327762,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,6,10371,2.199294158512708e-05,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,7,10472,-7.216134358472034e-06,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,8,10095,0.0010754082024986233,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,9,10203,0.0015275661974706017,0.406060606060606
volume_price_correlation,H3,robustness_oof_unseen,aggregate,10,9666,0.002313285721475664,0.406060606060606
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,1,15563,-0.002823765876170133,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,2,16108,-0.0036598458967043467,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,3,16978,-0.0031067917030019,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,4,15813,-0.0012144515855675695,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,5,17345,0.0005666285064839598,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,6,17659,0.0010180832120208617,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,7,17197,0.0012876710555034844,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,8,16338,-0.0023361249821987192,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,9,16282,-0.0013776776975075416,0.5272727272727272
rank_ts_rank_structure,H3,train_oof_unseen,aggregate,10,15365,-0.0007476063977673858,0.5272727272727272
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,1,7991,-0.0035823078233650153,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,2,9696,-0.002026090592260441,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,3,7909,-0.0036453002323556176,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,4,9915,-0.001136231263705429,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,5,14271,-0.0015588133504162596,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,6,15324,-0.0003827209458914707,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,7,11866,0.00042865243591745715,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,8,11710,-0.002369918718661457,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,9,9896,-0.0005614301584861031,0.6
rank_ts_rank_structure,H3,validation_oof_unseen,aggregate,10,6695,-0.0009244764046368317,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,1,9885,-0.001445972367278587,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,2,10603,0.00016950431336915304,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,3,11076,-0.0007509279007135174,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,4,9637,-1.8760786209911512e-05,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,5,10827,0.0021244627236061413,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,6,9697,0.002901690910988153,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,7,9287,0.002197729944691928,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,8,12001,-0.0001531559398434613,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,9,11230,0.0007872058818567946,0.6
rank_ts_rank_structure,H3,robustness_oof_unseen,aggregate,10,9412,0.002281230431843215,0.6
