family,horizon,split,fold_id,instrument_id,instrument_high_minus_low_spread,within_stock_rankIC,valid_signal_count
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601985,-0.00508497446601602,-0.009308442690814095,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000166,0.0024943113206601407,0.136612666804751,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000538,-0.003840747110385472,0.005989978226436121,908
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000725,0.0007157070328965478,-0.025848111120601328,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000776,0.002530433613429255,0.10637415014772968,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000895,-0.0017812725464372951,-0.023794729155599464,946
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002044,0.00645491846719509,-0.014801670893885014,458
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002352,-0.003217382384676365,-0.01135548950591674,964
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002475,-0.007091160710725774,-0.0015571213634986113,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002736,0.008249792297591527,0.0743114551486178,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601377,0.017749386142575492,0.17988309485681492,340
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002493,-0.0021123480988768048,0.02524032409492077,954
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601919,0.008123385694060507,0.048068093253496535,725
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601600,-0.0016999301745698045,-0.012438110318548799,860
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000768,0.026684080792457966,0.14955946607768764,353
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600809,0.015138123330309675,0.10117944189573977,681
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600332,0.006227882913081691,0.02951662490749675,612
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH603259,0.014796962047743542,0.0647202576269736,734
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601066,-0.005650425557420463,0.061387642878507384,704
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600570,0.01597207322668656,0.09773283591230292,647
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002555,0.002663010318453403,-0.009484299781131543,358
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ003816,0.0008319020979049396,0.04968208448067457,414
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601100,0.0006138532606577915,0.05425284316318435,399
