policy_id,policy_role,capital_mix_id,d8_sleeve_weight,d9_sleeve_weight,d10_sleeve_weight,entry_bucket_floor,exit_bucket_floor,partial_rebalance_rho,monthly_one_way_turnover_cap,actual_holding_cap,new_entry_priority_rule,slot_admission_session_rule,initial_formation_full_rebalance,reference_cost_id,sector_tilt_lambda,stop_threshold,primary_gate_eligible,secondary_readout
C_D8_ONLY_XD8_R100_CNONE,comparator,D8_ONLY,1.0,0.0,0.0,D8,D8,1.0,,45,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
C_D9D10_EQUAL_XD8_R100_CNONE,comparator,D9D10_EQUAL,0.0,0.5,0.5,D8,D8,1.0,,89,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
C_MIX303040_XD8_R100_CNONE,comparator,MIX303040,0.3,0.3,0.4,D8,D8,1.0,,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R025_C020,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.25,0.2,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R025_C030,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.25,0.3,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R025_C040,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.25,0.4,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R025_CNONE,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.25,,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R050_C020,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.5,0.2,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R050_C030,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.5,0.3,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R050_C040,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.5,0.4,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R050_CNONE,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,0.5,,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R100_C020,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,1.0,0.2,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R100_C030,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,1.0,0.3,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R100_C040,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,1.0,0.4,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
F_MIX333_XD6_R100_CNONE,factorial,MIX333,0.3333333333333333,0.3333333333333333,0.3333333333333333,D8,D6,1.0,,134,"D10>D9>D8,model_score_desc,instrument_id_asc",scheduled_next_open_after_sell_fills_only,True,SLIP005,0.0,,False,False
