input_id,path,expected_sha256,observed_sha256,hash_match
MLRANK_OUTPUT_HASHES,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/output_hashes_20b_p4_mlrank.json,c535431f2f71cb6a87a738b495266662b3a8d002c173f8673defe23f855453c8,c535431f2f71cb6a87a738b495266662b3a8d002c173f8673defe23f855453c8,True
MLRANK_MANIFEST,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/manifest_20b_p4_mlrank.json,052531faec928e0e2d4266dd65db60becf9803b90e105099fd943173d1982ab1,052531faec928e0e2d4266dd65db60becf9803b90e105099fd943173d1982ab1,True
MLRANK_DECISION,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/20B_P4_learned_monotonic_return_ranking_diagnostic_decision.csv,b1758469b0b43cc21543d7e469a7d531ea08cbe5c9c08110ac345df2fac5c1cf,b1758469b0b43cc21543d7e469a7d531ea08cbe5c9c08110ac345df2fac5c1cf,True
SCORE_BUNDLE_MANIFEST,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/scores/score_bundle_manifest.json,8cba8402335b77a530c41efe48e93fd27c2887b588af7af9cd8b66f867d851ff,8cba8402335b77a530c41efe48e93fd27c2887b588af7af9cd8b66f867d851ff,True
SCORE_BUNDLE_HASHES,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/scores/score_bundle_output_hashes.json,aea4f0811ad8306af690e48a63a519bfffa90322c89daff5984e369dcd1b2974,aea4f0811ad8306af690e48a63a519bfffa90322c89daff5984e369dcd1b2974,True
BUCKET_ASSIGNMENT,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/scores/robustness_model_bucket_assignment.parquet,9611aad6cd4b8933c882a8d3ae0e04561e8c360820f9c474a9de3a5840e5e846,9611aad6cd4b8933c882a8d3ae0e04561e8c360820f9c474a9de3a5840e5e846,True
SCORE_PANEL,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/scores/robustness_model_score_panel.parquet,56622631cd8fac004509e5c3ef3a862a02e3eb753a1054a2b7da803ab8ee5118,56622631cd8fac004509e5c3ef3a862a02e3eb753a1054a2b7da803ab8ee5118,True
FEATURE_PANEL,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_learned_monotonic_return_ranking_diagnostic_v1/materialized/feature_panel.parquet,22eeb61aee3c1d2e52a122896d4b494cd2079200b3e9e1a5eaa9fe23fa89c618,22eeb61aee3c1d2e52a122896d4b494cd2079200b3e9e1a5eaa9fe23fa89c618,True
PORTSENS_OUTPUT_HASHES,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6/output_hashes_20b_p4_portsens.json,7de9cb4dcf6ec4edba696efa1bb6cae4579b3fec0eb873d67ed3814ec39d9523,7de9cb4dcf6ec4edba696efa1bb6cae4579b3fec0eb873d67ed3814ec39d9523,True
PORTSENS_MANIFEST,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_P4_d8_d10_sector_crowding_cost_stoploss_sensitivity_v6/manifest_20b_p4_portsens.json,e133bc06251e6ab40dfd33c3c1d974e9153b494aa065aaf69675489439dc4f11,e133bc06251e6ab40dfd33c3c1d974e9153b494aa065aaf69675489439dc4f11,True
