candidate_scope_id,event_split,market_regime_bucket,event_count,executable_event_count,active_interval_definition,active_interval_horizon_trading_days,concurrency_scope,concurrency_mean,concurrency_p95,event_uniqueness_10d_mean,event_uniqueness_10d_median,event_uniqueness_10d_p10,event_uniqueness_10d_low_share,low_uniqueness_threshold,uniqueness_diagnostic_alert_flag
07_E1_plus_E3,validation,risk_off,955,954,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0052356020942408,1.0,0.9987148976677772,1.0,1.0,0.0,0.5,False
07_E1_plus_E3,validation,risk_on,721,721,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.001386962552011,1.0,0.9998739124952717,1.0,1.0,0.0,0.5,False
07_E1_plus_E3,validation,transition,1107,1107,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.006323396567299,1.0,0.9959760203662642,1.0,1.0,0.0,0.5,False
07_full_union,all,all,15161,15150,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.29846316206055,2.0,0.8690719609524438,0.8636363636363636,0.7272727272727273,0.0031660180726864984,0.5,False
07_full_union,robustness,all,3687,3685,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.2956333062110117,2.0,0.8719086717459378,0.9090909090909091,0.7272727272727273,0.005966910767561703,0.5,False
07_full_union,train,all,7328,7320,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.2914847161572052,2.0,0.8721342794759825,0.8636363636363636,0.7272727272727273,0.001091703056768559,0.5,False
07_full_union,validation,all,4146,4145,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.3133140376266281,2.0,0.8611366925404551,0.8181818181818182,0.7272727272727273,0.004341534008683068,0.5,False
07_full_union,all,risk_off,4019,4017,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.3508335406817615,2.0,0.8493896416265164,0.8181818181818182,0.7272727272727273,0.003981089823339139,0.5,False
07_full_union,all,risk_on,6928,6919,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.254041570438799,2.0,0.8861646196374834,0.9090909090909091,0.7272727272727273,0.0012990762124711315,0.5,False
07_full_union,all,transition,4214,4214,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.321547223540579,2.0,0.8597424170513871,0.8181818181818182,0.7272727272727273,0.005457997152349312,0.5,False
07_full_union,robustness,risk_off,876,875,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.4063926940639269,2.0,0.8343192195931921,0.7727272727272727,0.7272727272727273,0.012557077625570776,0.5,False
07_full_union,robustness,risk_on,2072,2071,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.2268339768339769,2.0,0.8938516438516438,1.0,0.7272727272727273,0.0009652509652509653,0.5,False
07_full_union,robustness,transition,739,739,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.3572395128552097,2.0,0.8549432074465904,0.8181818181818182,0.7272727272727273,0.012178619756427604,0.5,False
07_full_union,train,risk_off,1722,1722,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.3193960511033682,2.0,0.8591489811002007,0.8181818181818182,0.7272727272727273,0.0011614401858304297,0.5,False
07_full_union,train,risk_on,3784,3776,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.2684989429175475,2.0,0.8822113844576848,0.9090909090909091,0.7272727272727273,0.0010570824524312897,0.5,False
