candidate_scope_id,source_experiment,source_artifact_path,source_artifact_hash,source_row_filter,canonicalization_rule,expected_source_columns,actual_source_columns_hash,reconstructability_requirement,scope_mapping_status
07_E1_only,07,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,a35a2742075b0ccbacc1745b96851ff3daef869303f07eafee3e6d2bd605bd57,triggered_channels contains E1_early_ema60_repair,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,63b45a7f7ffbc0c854f7dbb50932c60e764d76f6947be8e6bab0cb666ca50e9d,event_membership_required,reconstructable_event_membership
07_E1_plus_E3,07,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,a35a2742075b0ccbacc1745b96851ff3daef869303f07eafee3e6d2bd605bd57,triggered_channels contains E1_early_ema60_repair or E3_rank_persistence,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,63b45a7f7ffbc0c854f7dbb50932c60e764d76f6947be8e6bab0cb666ca50e9d,event_membership_required,reconstructable_event_membership
07_full_union,07,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,a35a2742075b0ccbacc1745b96851ff3daef869303f07eafee3e6d2bd605bd57,all rows in 07 canonical publishable table,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,63b45a7f7ffbc0c854f7dbb50932c60e764d76f6947be8e6bab0cb666ca50e9d,event_membership_required,reconstructable_event_membership
08_selected_T4_T7_union,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains selected T4/T7 event_regime_gated variants,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
08_T4_gated,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains T4 event_regime_gated,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
08_T7_gated,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains T7 event_regime_gated,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
08_R_core_event_regime_gated,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains any R1/R2/R6/R7/R8 event_regime_gated variant,canonical union by instrument / event anchor,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
08_R1_event_regime_gated,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains R1_relative_strength_breakout__event_regime_gated,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
08_R2_event_regime_gated,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains R2_near_high_volume_expansion__event_regime_gated,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
08_R6_event_regime_gated,08,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,triggered_family_variants contains R6_market_breadth_thrust__event_regime_gated,canonical rows by canonical_event_id / event_id,event_id;instrument;event_t0_pos;trade_open_pos,be330c6c013d73f8921e43d99c4c459d4355ae7c68224b6472d686089671e5da,event_membership_required,reconstructable_event_membership
