candidate_scope_id,formal_full_denominator_density,denominator_source_id,denominator_compatibility_group,cross_source_ratio_gate_eligible,family_mechanism_concentration_status,episode_window_event_count_median,episode_window_event_count_top10,rolling_10d_window_count_self_included_mean,rolling_10d_neighbor_count_ex_self_mean,rolling_10d_duplicate_rate,event_uniqueness_10d_p10,adjacent_gap_median,final_hard_gate_status,final_diagnostic_alert_status
07_E1_only,1.8827168946520296,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0019061583577713,0.001906158357771261,0.001906158357771261,1.0,104.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
07_E1_plus_E3,2.8315289132618573,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0063371356147022,0.0063371356147021544,0.0063371356147021544,1.0,52.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
07_full_union,4.18531830495886,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.29846316206055,0.29846316206055007,0.29595673108633996,0.7272727272727273,15.0,hard_gate_not_failed_by_audit,diagnostic_alert
08_selected_T4_T7_union,0.5695080577224542,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.037324285021813,0.03732428502181289,0.03732428502181289,1.0,167.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_T4_gated,0.403873140304387,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,240.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_T7_gated,0.1736406050932737,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,211.5,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_R_core_event_regime_gated,13.227052388615446,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.8716032892265309,0.8716032892265309,0.5783069666485787,0.36363636363636365,7.0,hard_gate_not_failed_by_audit,diagnostic_alert
08_R1_event_regime_gated,3.96502386479283,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,47.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_R2_event_regime_gated,2.6327670123601767,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,77.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_R6_event_regime_gated,4.4732470030705995,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,44.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_R7_event_regime_gated,2.7015055030886748,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,70.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_R8_event_regime_gated,3.560046491705656,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,1.0,0.0,0.0,1.0,43.0,hard_gate_not_failed_by_audit,no_executable_timing_alert
08_R_compression_arm::raw_r_series_variant_pool,17.1045658053724,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::event_regime_gated_only,13.2311932615509,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::single_family_best_variant__R1_relative_strength_breakout,3.96502386479283,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::single_family_best_variant__R6_market_breadth_thrust,4.4732470030706,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::single_family_best_variant__R7_cross_sectional_momentum_rank_jump,2.7015055030886748,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::single_family_best_variant__R8_persistent_distance_above_ema,3.560046491705656,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::single_family_best_variant__R2_near_high_volume_expansion,2.6327670123601767,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::family_score_quantile_cut__q07,6.0854268659397865,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::family_score_quantile_cut__q08,4.910799243249993,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::family_score_quantile_cut__q09,3.7637774401298794,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::family_score_quantile_cut__q095,3.250033137938174,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::family_score_quantile_cut__q0975,3.03443168709899,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::consensus_family_count__min2,3.0385725600344413,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::consensus_family_count__min3,0.8541240574858328,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
08_R_compression_arm::top_k_per_instrument_month__k1,7.764412812167593,08_full_evaluated_universe_years_252,07_08_topn_proxy_universe_years_252,True,aggregate_or_scope_level_only,,,,,,,,aggregate_only_not_hard_gate_eligible,no_executable_timing_alert
