candidate_scope_id,scope_status,source_artifact_path,source_artifact_hash_status,source_row_count,selected_event_count,published_reference_event_count,reconstructed_vs_published_count_difference,missing_required_columns,aggregate_only_reason,event_level_label_source_status,episode_capture_source_status,hard_gate_eligible_flag,notes
07_E1_only,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,hash_available,6820,6820.0,6820.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
07_E1_plus_E3,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,hash_available,10257,10257.0,,,,,event_level_label_available,pre_replay_capture_only,True,
07_full_union,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,hash_available,15161,15161.0,15161.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_selected_T4_T7_union,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,2063,2063.0,2063.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_T4_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,1463,1463.0,1463.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_T7_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,629,629.0,629.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R_core_event_regime_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,47914,47914.0,47929.0,-15.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R1_event_regime_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,14363,14363.0,14363.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R2_event_regime_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,9537,9537.0,9537.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R6_event_regime_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,16204,16204.0,16204.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R7_event_regime_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,9786,9786.0,9786.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R8_event_regime_gated,reconstructable_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/candidate_family_canonical_events.csv.gz,hash_available,12896,12896.0,12896.0,0.0,,,event_level_label_available,pre_replay_capture_only,True,
08_R_compression_arm::raw_r_series_variant_pool,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,61960.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::event_regime_gated_only,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,47929.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
