candidate_scope_id,event_split,market_regime_bucket,instrument_count,gap_sample_count,gap_anchor_policy_id,adjacent_gap_p10,adjacent_gap_median,adjacent_gap_p90,gap_lt_5d_rate,gap_lt_10d_rate,gap_ge_20d_rate,diagnostic_alert_flag
07_full_union,robustness,all,552,3598,executable_trade_open_else_t0_fallback_v1,5.0,15.0,143.0,0.012506948304613675,0.2840466926070039,0.43913285158421345,False
07_full_union,train,all,809,6519,executable_trade_open_else_t0_fallback_v1,5.0,15.0,138.19999999999982,0.0033747507286393617,0.30648872526461113,0.3887099248350974,False
07_full_union,validation,all,602,3952,executable_trade_open_else_t0_fallback_v1,5.0,15.0,142.0,0.005060728744939271,0.3076923076923077,0.41219635627530365,False
07_full_union,all,risk_off,838,3643,executable_trade_open_else_t0_fallback_v1,5.0,15.0,127.0,0.0076859730990941535,0.3266538567115015,0.3947296184463354,False
07_full_union,all,risk_on,946,6599,executable_trade_open_else_t0_fallback_v1,5.0,15.0,148.0,0.005152295802394302,0.2767085922109411,0.4127898166388847,False
07_full_union,all,transition,922,3827,executable_trade_open_else_t0_fallback_v1,5.0,15.0,144.0,0.006532532009406846,0.31878756205905406,0.41311732427488895,False
07_full_union,robustness,risk_off,383,842,executable_trade_open_else_t0_fallback_v1,5.0,15.0,144.79999999999995,0.022565320665083134,0.32779097387173395,0.4584323040380047,False
07_full_union,robustness,risk_on,512,2036,executable_trade_open_else_t0_fallback_v1,5.0,15.0,143.5,0.0068762278978389,0.26227897838899805,0.40913555992141454,False
07_full_union,robustness,transition,383,720,executable_trade_open_else_t0_fallback_v1,5.0,20.0,141.0,0.016666666666666666,0.29444444444444445,0.5013888888888889,False
07_full_union,train,risk_off,501,1461,executable_trade_open_else_t0_fallback_v1,5.0,15.0,104.0,0.0034223134839151265,0.3347022587268994,0.32375085557837097,False
07_full_union,train,risk_on,690,3533,executable_trade_open_else_t0_fallback_v1,5.0,15.0,153.0,0.004528729125389187,0.28474384375884515,0.4225870365128786,False
07_full_union,train,transition,630,1525,executable_trade_open_else_t0_fallback_v1,5.0,15.0,140.60000000000014,0.0006557377049180328,0.3298360655737705,0.37245901639344264,False
07_full_union,validation,risk_off,499,1340,executable_trade_open_else_t0_fallback_v1,5.0,15.0,129.0,0.0029850746268656717,0.31716417910447764,0.43208955223880596,False
07_full_union,validation,risk_on,459,1030,executable_trade_open_else_t0_fallback_v1,5.0,15.0,144.20000000000005,0.003883495145631068,0.27766990291262134,0.3864077669902913,False
07_full_union,validation,transition,518,1582,executable_trade_open_else_t0_fallback_v1,5.0,15.0,149.9000000000001,0.007585335018963337,0.3192161820480405,0.41213653603034134,False
08_selected_T4_T7_union,all,all,922,1141,executable_trade_open_else_t0_fallback_v1,27.0,167.0,696.0,0.044697633654688866,0.06660823838737949,0.9255039439088519,False
08_selected_T4_T7_union,robustness,all,386,473,executable_trade_open_else_t0_fallback_v1,31.60000000000001,140.0,965.0000000000002,0.042283298097251586,0.06553911205073996,0.9260042283298098,False
08_selected_T4_T7_union,train,all,639,509,executable_trade_open_else_t0_fallback_v1,20.0,136.0,434.2,0.060903732809430254,0.08840864440078586,0.9017681728880157,False
08_selected_T4_T7_union,validation,all,216,159,executable_trade_open_else_t0_fallback_v1,119.2,360.0,801.6000000000005,0.0,0.0,1.0,False
08_selected_T4_T7_union,all,risk_on,819,893,executable_trade_open_else_t0_fallback_v1,25.0,145.0,696.0,0.04703247480403135,0.07278835386338185,0.9171332586786114,False
08_selected_T4_T7_union,all,transition,367,248,executable_trade_open_else_t0_fallback_v1,49.7,198.5,688.3000000000002,0.036290322580645164,0.04435483870967742,0.9556451612903226,False
08_selected_T4_T7_union,robustness,risk_on,351,433,executable_trade_open_else_t0_fallback_v1,28.200000000000003,138.0,942.8000000000004,0.046189376443418015,0.07159353348729793,0.9191685912240185,False
08_selected_T4_T7_union,robustness,transition,59,40,executable_trade_open_else_t0_fallback_v1,58.0,252.5,1140.7,0.0,0.0,1.0,False
08_selected_T4_T7_union,train,risk_on,565,398,executable_trade_open_else_t0_fallback_v1,20.0,131.5,440.0,0.05527638190954774,0.08542713567839195,0.9020100502512562,False
08_selected_T4_T7_union,train,transition,212,111,executable_trade_open_else_t0_fallback_v1,20.0,142.0,383.0,0.08108108108108109,0.0990990990990991,0.9009009009009009,False
08_selected_T4_T7_union,validation,risk_on,88,62,executable_trade_open_else_t0_fallback_v1,53.900000000000034,425.0,832.1,0.0,0.0,1.0,False
08_selected_T4_T7_union,validation,transition,142,97,executable_trade_open_else_t0_fallback_v1,125.4,300.0,751.2000000000002,0.0,0.0,1.0,False
08_T4_gated,all,all,790,673,executable_trade_open_else_t0_fallback_v1,47.2,240.0,823.4000000000002,0.0,0.0,1.0,False
08_T4_gated,robustness,all,298,226,executable_trade_open_else_t0_fallback_v1,72.0,402.5,1117.5,0.0,0.0,1.0,False
08_T4_gated,train,all,536,297,executable_trade_open_else_t0_fallback_v1,38.0,142.0,468.80000000000007,0.0,0.0,1.0,False
08_T4_gated,validation,all,216,150,executable_trade_open_else_t0_fallback_v1,119.6,365.5,824.9,0.0,0.0,1.0,False
08_T4_gated,all,risk_on,667,483,executable_trade_open_else_t0_fallback_v1,42.0,250.0,836.2,0.0,0.0,1.0,False
08_T4_gated,all,transition,320,190,executable_trade_open_else_t0_fallback_v1,59.900000000000006,232.0,771.3,0.0,0.0,1.0,False
08_T4_gated,robustness,risk_on,263,191,executable_trade_open_else_t0_fallback_v1,77.0,420.0,1116.0,0.0,0.0,1.0,False
08_T4_gated,robustness,transition,54,35,executable_trade_open_else_t0_fallback_v1,65.60000000000001,255.0,1097.6000000000004,0.0,0.0,1.0,False
08_T4_gated,train,risk_on,460,235,executable_trade_open_else_t0_fallback_v1,37.0,138.0,463.99999999999994,0.0,0.0,1.0,False
08_T4_gated,train,transition,166,62,executable_trade_open_else_t0_fallback_v1,55.0,153.0,462.39999999999986,0.0,0.0,1.0,False
08_T4_gated,validation,risk_on,88,57,executable_trade_open_else_t0_fallback_v1,88.40000000000003,435.0,868.9999999999999,0.0,0.0,1.0,False
08_T4_gated,validation,transition,142,93,executable_trade_open_else_t0_fallback_v1,123.80000000000001,308.0,773.4,0.0,0.0,1.0,False
08_T7_gated,all,all,305,324,executable_trade_open_else_t0_fallback_v1,84.30000000000001,211.5,564.0,0.0,0.0,1.0,False
08_T7_gated,robustness,all,146,197,executable_trade_open_else_t0_fallback_v1,83.0,137.0,709.0000000000001,0.0,0.0,1.0,False
08_T7_gated,train,all,205,127,executable_trade_open_else_t0_fallback_v1,97.0,238.0,453.80000000000007,0.0,0.0,1.0,False
08_T7_gated,all,risk_on,280,299,executable_trade_open_else_t0_fallback_v1,83.8,138.0,580.9999999999991,0.0,0.0,1.0,False
08_T7_gated,all,transition,68,25,executable_trade_open_else_t0_fallback_v1,217.4,222.0,461.0,0.0,0.0,1.0,False
08_T7_gated,robustness,risk_on,143,194,executable_trade_open_else_t0_fallback_v1,83.0,137.0,702.1,0.0,0.0,1.0,False
08_T7_gated,robustness,transition,6,3,executable_trade_open_else_t0_fallback_v1,254.4,696.0,1048.8,0.0,0.0,1.0,False
08_T7_gated,train,risk_on,179,105,executable_trade_open_else_t0_fallback_v1,97.0,239.0,456.8000000000001,0.0,0.0,1.0,False
08_T7_gated,train,transition,62,22,executable_trade_open_else_t0_fallback_v1,218.2,222.0,412.90000000000043,0.0,0.0,1.0,False
08_R_core_event_regime_gated,all,all,1431,46483,executable_trade_open_else_t0_fallback_v1,1.0,7.0,60.0,0.4005765548695222,0.5763612503495902,0.2770044962674526,True
08_R_core_event_regime_gated,robustness,all,774,12802,executable_trade_open_else_t0_fallback_v1,1.0,7.0,61.0,0.3897828464302453,0.5571785658490861,0.29175128886111545,True
08_R_core_event_regime_gated,train,all,1080,23212,executable_trade_open_else_t0_fallback_v1,1.0,6.0,53.900000000001455,0.4108650697914872,0.5968895398931587,0.25336033086334653,True
08_R_core_event_regime_gated,validation,all,759,10469,executable_trade_open_else_t0_fallback_v1,1.0,7.0,71.0,0.3909637978794536,0.5543031808195625,0.3113955487630146,True
08_R_core_event_regime_gated,all,risk_on,1354,30036,executable_trade_open_else_t0_fallback_v1,1.0,6.0,53.0,0.41803169529897455,0.6033759488613664,0.24127713410573978,True
08_R_core_event_regime_gated,all,transition,1286,16447,executable_trade_open_else_t0_fallback_v1,1.0,8.0,70.0,0.36869945886787864,0.5270262053870006,0.3422508664194078,True
08_R_core_event_regime_gated,robustness,risk_on,760,9631,executable_trade_open_else_t0_fallback_v1,1.0,6.0,54.0,0.41677915065932924,0.5858166337867303,0.25231024815699304,True
08_R_core_event_regime_gated,robustness,transition,645,3171,executable_trade_open_else_t0_fallback_v1,1.0,11.0,73.0,0.30778934090192367,0.47019867549668876,0.41154210028382215,False
08_R_core_event_regime_gated,train,risk_on,1015,16030,executable_trade_open_else_t0_fallback_v1,1.0,6.0,46.0,0.42351840299438553,0.6250155957579538,0.2195882719900187,True
08_R_core_event_regime_gated,train,transition,961,7182,executable_trade_open_else_t0_fallback_v1,1.0,8.0,68.0,0.38262322472848787,0.5341130604288499,0.3287385129490393,True
