source_pool,split,gate_stage,event_regime_bucket_filter,event_count,cost_label_complete_n,cost_label_complete_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,cost_bad_10_20_rate,post_replay_e1_missed_captured_episode_n,post_replay_e1_missed_capture_retention
08_R6_event_regime_gated,train,before_event_regime_gate,all,7978,7953,0.9968663825520181,0.2668175531246071,0.336979756066893,0.37331824468753927,82,1.0649350649350648
08_R6_event_regime_gated,train,after_event_regime_gate,risk_on,4816,4794,0.9954318936877077,0.30517313308302046,0.3909052982895286,0.42991239048811014,75,0.974025974025974
08_R6_event_regime_gated,validation,before_event_regime_gate,all,3897,3894,0.9992301770592764,0.1941448382126348,0.28068823831535694,0.300462249614792,13,1.0
08_R6_event_regime_gated,validation,after_event_regime_gate,risk_on,1441,1440,0.9993060374739764,0.18125,0.26875,0.29305555555555557,7,0.5384615384615384
08_R6_event_regime_gated,robustness,before_event_regime_gate,all,4329,4321,0.9981519981519982,0.2015737097894006,0.2612821106225411,0.28789632029622775,77,1.0
08_R6_event_regime_gated,robustness,after_event_regime_gate,risk_on,3003,2996,0.9976689976689976,0.22696929238985314,0.28437917222963954,0.3157543391188251,67,0.8701298701298701
08_R_core_event_regime_gated,train,before_event_regime_gate,all,24292,24254,0.9984356989955541,0.2744289601715181,0.3458810917786757,0.3845138946153212,85,1.0625
08_R_core_event_regime_gated,train,after_event_regime_gate,risk_on,16603,16571,0.9980726374751551,0.29799046527065354,0.3827167943998552,0.4205539798443063,85,1.0625
08_R_core_event_regime_gated,validation,before_event_regime_gate,all,10667,10661,0.9994375175775757,0.20251383547509613,0.2937810711940719,0.3136666354000563,13,1.0
08_R_core_event_regime_gated,validation,after_event_regime_gate,risk_on,4457,4455,0.9995512676688355,0.19528619528619529,0.2920314253647587,0.31447811447811447,11,0.8461538461538461
08_R_core_event_regime_gated,robustness,before_event_regime_gate,all,12955,12934,0.9983790042454651,0.21362300912324106,0.26039894850780887,0.29534560074222976,84,1.0
08_R_core_event_regime_gated,robustness,after_event_regime_gate,risk_on,9730,9711,0.9980472764645426,0.24127278344145814,0.2804036659458346,0.3222119246215632,78,0.9285714285714286
