source_kind,source_id,split,market_regime_bucket,window,base_policy_id,replay_policy_id,event_drop_n,event_drop_rate,any_recall_delta_pp,bridge_recall_delta_pp,e1_missed_capture_delta_n,policy_effect_interpretation
scope,08_R6_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_executable_horizon_complete,0,0.0,0.0,0.0,0,executable_anchor_and_required_label_horizon_complete
scope,08_R6_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_10d_oracle,680,0.2269692923898531,-9.944751381215475,-9.944751381215475,-15,audit_only_fast_fail_cost_removed
scope,08_R6_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_false_repair_20d_oracle,852,0.2843791722296395,-11.602209944751383,-11.602209944751383,-18,audit_only_false_repair_cost_removed
scope,08_R6_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_and_non_false_repair_oracle,946,0.3157543391188251,-12.70718232044199,-12.70718232044199,-19,audit_only_fast_fail_and_false_repair_removed
scope,08_R6_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_executable_horizon_complete,0,0.0,0.0,0.0,0,executable_anchor_and_required_label_horizon_complete
scope,08_R6_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_10d_oracle,1463,0.3051731330830204,-3.999999999999993,-3.999999999999993,-4,audit_only_fast_fail_cost_removed
scope,08_R6_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_false_repair_20d_oracle,1874,0.3909052982895286,-3.555555555555556,-3.555555555555556,-3,audit_only_false_repair_cost_removed
scope,08_R6_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_and_non_false_repair_oracle,2061,0.4299123904881101,-6.222222222222218,-6.222222222222218,-5,audit_only_fast_fail_and_false_repair_removed
scope,08_R6_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_executable_horizon_complete,0,0.0,0.0,0.0,0,executable_anchor_and_required_label_horizon_complete
scope,08_R6_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_10d_oracle,261,0.18125,-4.545454545454541,-4.545454545454541,0,audit_only_fast_fail_cost_removed
scope,08_R6_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_false_repair_20d_oracle,387,0.26875,-4.545454545454541,-4.545454545454541,0,audit_only_false_repair_cost_removed
scope,08_R6_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_and_non_false_repair_oracle,422,0.2930555555555555,-9.090909090909092,-9.090909090909092,0,audit_only_fast_fail_and_false_repair_removed
scope,08_R_core_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_executable_horizon_complete,0,0.0,0.0,0.0,0,executable_anchor_and_required_label_horizon_complete
scope,08_R_core_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_10d_oracle,2343,0.2412727834414581,-8.287292817679559,-8.287292817679559,-15,audit_only_fast_fail_cost_removed
scope,08_R_core_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_false_repair_20d_oracle,2723,0.2804036659458346,-8.287292817679559,-8.287292817679559,-15,audit_only_false_repair_cost_removed
scope,08_R_core_event_regime_gated,robustness,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_and_non_false_repair_oracle,3129,0.3222119246215632,-9.392265193370164,-9.392265193370164,-17,audit_only_fast_fail_and_false_repair_removed
scope,08_R_core_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_executable_horizon_complete,0,0.0,0.0,0.0,0,executable_anchor_and_required_label_horizon_complete
scope,08_R_core_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_10d_oracle,4938,0.2979904652706535,-1.777777777777778,-1.777777777777778,-2,audit_only_fast_fail_cost_removed
scope,08_R_core_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_false_repair_20d_oracle,6342,0.3827167943998552,-0.8888888888888835,-0.8888888888888835,-1,audit_only_false_repair_cost_removed
scope,08_R_core_event_regime_gated,train,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_and_non_false_repair_oracle,6969,0.4205539798443063,-2.222222222222225,-2.222222222222225,-2,audit_only_fast_fail_and_false_repair_removed
scope,08_R_core_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_executable_horizon_complete,0,0.0,0.0,0.0,0,executable_anchor_and_required_label_horizon_complete
scope,08_R_core_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_10d_oracle,870,0.1952861952861952,0.0,0.0,0,audit_only_fast_fail_cost_removed
scope,08_R_core_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_false_repair_20d_oracle,1301,0.2920314253647587,-4.545454545454541,-4.545454545454541,0,audit_only_false_repair_cost_removed
scope,08_R_core_event_regime_gated,validation,risk_on,low_to_first_50pct,post_replay_executable_horizon_complete,post_replay_non_fast_fail_and_non_false_repair_oracle,1401,0.3144781144781144,-9.090909090909092,-9.090909090909092,0,audit_only_fast_fail_and_false_repair_removed
