source_id,event_split,episode_split,split_aligned,membership_row_count
07_E1_only,robustness,robustness,True,1128
07_E1_only,robustness,validation,False,71
07_E1_only,train,train,True,2100
07_E1_only,validation,train,False,24
07_E1_only,validation,validation,True,741
07_full_union,robustness,robustness,True,2352
07_full_union,robustness,validation,False,202
07_full_union,train,train,True,5001
07_full_union,validation,train,False,67
07_full_union,validation,validation,True,1769
08_R1_event_regime_gated,robustness,robustness,True,2202
08_R1_event_regime_gated,robustness,validation,False,166
08_R1_event_regime_gated,train,train,True,4809
08_R1_event_regime_gated,validation,train,False,62
08_R1_event_regime_gated,validation,validation,True,1322
08_R2_event_regime_gated,robustness,robustness,True,1902
08_R2_event_regime_gated,robustness,validation,False,110
08_R2_event_regime_gated,train,train,True,3504
08_R2_event_regime_gated,validation,train,False,37
08_R2_event_regime_gated,validation,validation,True,922
08_R6_event_regime_gated,robustness,robustness,True,2578
08_R6_event_regime_gated,robustness,validation,False,172
08_R6_event_regime_gated,train,train,True,5244
08_R6_event_regime_gated,validation,train,False,55
08_R6_event_regime_gated,validation,validation,True,1401
08_R7_event_regime_gated,robustness,robustness,True,1707
08_R7_event_regime_gated,robustness,validation,False,108
08_R7_event_regime_gated,train,train,True,3392
08_R7_event_regime_gated,validation,train,False,34
08_R7_event_regime_gated,validation,validation,True,938
08_R8_event_regime_gated,robustness,robustness,True,1917
08_R8_event_regime_gated,robustness,validation,False,187
08_R8_event_regime_gated,train,train,True,4298
08_R8_event_regime_gated,validation,train,False,50
08_R8_event_regime_gated,validation,validation,True,1097
08_R_core_event_regime_gated,robustness,robustness,True,7637
08_R_core_event_regime_gated,robustness,validation,False,513
08_R_core_event_regime_gated,train,train,True,16288
08_R_core_event_regime_gated,validation,train,False,196
08_R_core_event_regime_gated,validation,validation,True,4169
08_T4_gated,robustness,robustness,True,205
08_T4_gated,robustness,validation,False,29
08_T4_gated,train,train,True,566
08_T4_gated,validation,train,False,6
08_T4_gated,validation,validation,True,118
08_T7_gated,robustness,robustness,True,215
08_T7_gated,robustness,validation,False,13
08_T7_gated,train,train,True,234
08_selected_T4_T7_union,robustness,robustness,True,417
08_selected_T4_T7_union,robustness,validation,False,42
08_selected_T4_T7_union,train,train,True,788
08_selected_T4_T7_union,validation,train,False,6
