source_artifact,column_name,column_role
post_replay_scope_retention_by_split_regime.csv,market_regime_bucket,episode_regime_bucket
post_replay_arm_retention_by_split_regime.csv,market_regime_bucket,episode_regime_bucket
post_replay_e1_missed_retention_summary.csv,market_regime_bucket,episode_regime_bucket
post_replay_policy_effect_summary.csv,market_regime_bucket,episode_regime_bucket
post_replay_event_episode_membership.parquet,market_regime_bucket,event_regime_bucket
post_replay_event_episode_membership.parquet,market_regime_bucket_canonical,event_regime_bucket
post_replay_event_episode_membership.parquet,market_regime_bucket_episode,episode_regime_bucket
post_replay_event_episode_membership.parquet,episode_market_regime_bucket,episode_regime_bucket
candidate_family_canonical_events.csv.gz,market_regime_bucket,event_regime_bucket
candidate_family_canonical_events.csv.gz,event_regime_bucket,event_regime_bucket
