source_pool,scope_mapping_status,scope_status,hard_gate_eligible_flag,source_row_filter,source_hash,reconstructed_event_count,source_row_count,published_reference_event_count,reconstructed_vs_published_count_difference,accepted_difference_reason,scope_reconstruction_status
07_E1_only,reconstructable_event_membership,reconstructable_event_membership,True,triggered_channels contains E1_early_ema60_repair,a35a2742075b0ccbacc1745b96851ff3daef869303f07eafee3e6d2bd605bd57,6820,6820,6820,0,,pass
08_R6_event_regime_gated,reconstructable_event_membership,reconstructable_event_membership,True,triggered_family_variants contains R6_market_breadth_thrust__event_regime_gated,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,16204,16204,16204,0,,pass
08_R_core_event_regime_gated,reconstructable_event_membership,reconstructable_event_membership,True,triggered_family_variants contains any R1/R2/R6/R7/R8 event_regime_gated variant,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,47914,47914,47929,-15,A_audit_accepted_R_core_minus_15_published_reference_difference,pass
08_R1_event_regime_gated,reconstructable_event_membership,reconstructable_event_membership,True,triggered_family_variants contains R1_relative_strength_breakout__event_regime_gated,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,14363,14363,14363,0,,pass
