field_name,allowed_as_t0_feature,allowed_as_label,uses_future_information,allowed_downstream_use,leakage_status
failure_10_label,False,True,True,supervised_label_only,pass
event_false_repair_20d_label,False,True,True,supervised_label_only,pass
target_episode_id,False,False,True,post_replay_readout_only,pass
feature_as_of_date,False,False,False,asof_join_audit,pass
