canonical_event_id,instrument,event_t0_date,source_pool_count,source_pools,event_row_count,overlap_status
SH600000_20240506_risk_on_transition_union,SH600000,2024-05-06,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20240711_risk_on_transition_union,SH600000,2024-07-11,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20240925_risk_on_transition_union,SH600000,2024-09-25,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20241210_risk_on_transition_union,SH600000,2024-12-10,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20250116_risk_on_transition_union,SH600000,2025-01-16,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20250506_risk_on_transition_union,SH600000,2025-05-06,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20250604_risk_on_transition_union,SH600000,2025-06-04,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600000_20250703_risk_on_transition_union,SH600000,2025-07-03,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20180117_risk_on_transition_union,SH600004,2018-01-17,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20180222_risk_on_transition_union,SH600004,2018-02-22,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20181213_risk_on_transition_union,SH600004,2018-12-13,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20190124_risk_on_transition_union,SH600004,2019-01-24,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20190327_risk_on_transition_union,SH600004,2019-03-27,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20190430_risk_on_transition_union,SH600004,2019-04-30,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20190701_risk_on_transition_union,SH600004,2019-07-01,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20190819_risk_on_transition_union,SH600004,2019-08-19,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20190919_risk_on_transition_union,SH600004,2019-09-19,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20200417_risk_on_transition_union,SH600004,2020-04-17,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20200528_risk_on_transition_union,SH600004,2020-05-28,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20201116_risk_on_transition_union,SH600004,2020-11-16,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
SH600004_20210311_risk_on_transition_union,SH600004,2021-03-11,2,08_R6_event_regime_gated;08_R_core_event_regime_gated,2,multi_source_overlap
