source_pool,model_id,threshold_id,event_id,canonical_event_id,instrument,event_t0_date,event_t0_pos,trade_open_date,trade_open_pos,non_executable_next_open,event_window_anchor_pos,event_window_anchor_date,event_window_anchor_status,event_key,replay_anchor_pos,replay_anchor_date,feature_as_of_date,feature_lag_days,feature_join_policy,feature_source_hash,daily_panel_feature_status,event_split,event_regime_bucket,board_bucket,primary_family_id,family_id,cost_bad_score,fast_fail_bad_10d,false_repair_bad_20d,cost_bad_10_20,horizon_complete
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300079_20210709_risk_on_transition_union,SZ300079_20210709_risk_on_transition_union,SZ300079,2021-07-09,1098,2021-07-12,1099,False,1099,2021-07-12,next_open_execution_anchor,SZ300079_20210709_risk_on_transition_union,1099,2021-07-12,2021-07-09,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,train,risk_on,chinext,R6_market_breadth_thrust,candidate_union,0.9759729304142337,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300672_20210629_risk_on_transition_union,SZ300672_20210629_risk_on_transition_union,SZ300672,2021-06-29,951,2021-06-30,952,False,952,2021-06-30,next_open_execution_anchor,SZ300672_20210629_risk_on_transition_union,952,2021-06-30,2021-06-29,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,train,risk_on,chinext,R8_persistent_distance_above_ema,candidate_union,0.973121680541033,False,False,False,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ000158_20241014_risk_on_transition_union,SZ000158_20241014_risk_on_transition_union,SZ000158,2024-10-14,1877,2024-10-15,1878,False,1878,2024-10-15,next_open_execution_anchor,SZ000158_20241014_risk_on_transition_union,1878,2024-10-15,2024-10-14,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,main_board,R1_relative_strength_breakout,candidate_union,0.9665020936900738,False,False,False,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300475_20251112_risk_on_transition_union,SZ300475_20251112_risk_on_transition_union,SZ300475,2025-11-12,2121,2025-11-13,2122,False,2122,2025-11-13,next_open_execution_anchor,SZ300475_20251112_risk_on_transition_union,2122,2025-11-13,2025-11-12,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,chinext,R1_relative_strength_breakout,candidate_union,0.9649485649385269,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300010_20241210_risk_on_transition_union,SZ300010_20241210_risk_on_transition_union,SZ300010,2024-12-10,1861,2024-12-11,1862,False,1862,2024-12-11,next_open_execution_anchor,SZ300010_20241210_risk_on_transition_union,1862,2024-12-11,2024-12-10,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,chinext,R1_relative_strength_breakout,candidate_union,0.9641779800727902,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300204_20250703_risk_on_transition_union,SZ300204_20250703_risk_on_transition_union,SZ300204,2025-07-03,2062,2025-07-04,2063,False,2063,2025-07-04,next_open_execution_anchor,SZ300204_20250703_risk_on_transition_union,2063,2025-07-04,2025-07-03,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,chinext,R6_market_breadth_thrust,candidate_union,0.9624946282340235,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ002583_20241121_risk_on_transition_union,SZ002583_20241121_risk_on_transition_union,SZ002583,2024-11-21,1914,2024-11-22,1915,False,1915,2024-11-22,next_open_execution_anchor,SZ002583_20241121_risk_on_transition_union,1915,2024-11-22,2024-11-21,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,main_board,R1_relative_strength_breakout,candidate_union,0.9615042152724466,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300394_20250903_risk_on_transition_union,SZ300394_20250903_risk_on_transition_union,SZ300394,2025-09-03,2094,2025-09-04,2095,False,2095,2025-09-04,next_open_execution_anchor,SZ300394_20250903_risk_on_transition_union,2095,2025-09-04,2025-09-03,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,chinext,R8_persistent_distance_above_ema,candidate_union,0.9591346814404453,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300368_20200826_risk_on_transition_union,SZ300368_20200826_risk_on_transition_union,SZ300368,2020-08-26,862,2020-08-27,863,False,863,2020-08-27,next_open_execution_anchor,SZ300368_20200826_risk_on_transition_union,863,2020-08-27,2020-08-26,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,train,risk_on,chinext,R1_relative_strength_breakout,candidate_union,0.9588122738998627,False,False,False,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300100_20250320_risk_on_transition_union,SZ300100_20250320_risk_on_transition_union,SZ300100,2025-03-20,1843,2025-03-21,1844,False,1844,2025-03-21,next_open_execution_anchor,SZ300100_20250320_risk_on_transition_union,1844,2025-03-21,2025-03-20,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,chinext,R2_near_high_volume_expansion,candidate_union,0.9580299704873452,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ002312_20241030_risk_on_transition_union,SZ002312_20241030_risk_on_transition_union,SZ002312,2024-10-30,1691,2024-10-31,1692,False,1692,2024-10-31,next_open_execution_anchor,SZ002312_20241030_risk_on_transition_union,1692,2024-10-31,2024-10-30,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,main_board,R1_relative_strength_breakout,candidate_union,0.9577177398678821,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300368_20200831_risk_on_transition_union,SZ300368_20200831_risk_on_transition_union,SZ300368,2020-08-31,865,2020-09-01,866,False,866,2020-09-01,next_open_execution_anchor,SZ300368_20200831_risk_on_transition_union,866,2020-09-01,2020-08-31,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,train,risk_on,chinext,R2_near_high_volume_expansion,candidate_union,0.957400189637781,True,True,True,True
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,SZ300010_20241205_risk_on_transition_union,SZ300010_20241205_risk_on_transition_union,SZ300010,2024-12-05,1858,2024-12-06,1859,False,1859,2024-12-06,next_open_execution_anchor,SZ300010_20241205_risk_on_transition_union,1859,2024-12-06,2024-12-05,0,latest_same_or_prior_event_t0_date,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,asof_feature_joined,robustness,risk_on,chinext,R6_market_breadth_thrust,candidate_union,0.9572381004297974,True,True,True,True
