input_id,path,required,status,sha256,row_count,scope_mapping_status,scope_status,hard_gate_eligible_flag,source_row_filter,source_hash,reconstructed_event_count,source_row_count,published_reference_event_count,reconstructed_vs_published_count_difference,accepted_difference_reason,scope_reconstruction_status
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/requirement_experiment_e_risk_on_post_filter_cost_rejector.md,True,available,00db30c4d4843c4a4551f6d59f8c720cf90baca9873c712f60724d3e6cbb7a99,1,,,,,,,,,,,
experiment_a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/density_fast_fail_audit/density_fast_fail_audit_manifest.json,True,available,5890db114330f848de4a6b9a37307540dc69e7dcd32b2214c42a3b8bfa18c3a2,1,,,,,,,,,,,
experiment_b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/regime_family_matrix/regime_family_matrix_manifest.json,True,available,ebbe5513702fcd7dab7937651ad15154bc5149e54148cbf29460e0a805e381c6,1,,,,,,,,,,,
experiment_c_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/risk_on_r_series_bridge_ranker/risk_on_r_series_bridge_ranker_manifest.json,True,available,e0851f5d2f521d9c81be6399782099d79d63a97c087ada86fbf723c39f94399f,1,,,,,,,,,,,
experiment_d_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/manifests/post_replay_event_to_episode_retention_source/post_replay_event_to_episode_retention_source_manifest.json,True,available,f267861517e7fb0ee9918721ccd7469a68856da76e7001aaffb597e6df6a85f3,1,,,,,,,,,,,
density_fast_fail_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/reports/density_fast_fail_audit/density_fast_fail_caliber_contract.md,True,available,b2a483a46a6f1511ede5fd0b58d8696935a3edf7151a7be9785440f8ff9745b6,1,,,,,,,,,,,
candidate_scope_mapping_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_mapping_contract.csv,True,available,c99625e0ca82e717aa03aa497e652a47c2dcda7f17c41512575bf299de994d16,36,,,,,,,,,,,
candidate_scope_reconstructability_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_scope_reconstructability_audit.csv,True,available,6e706b765288e5323d42d0b2cd26efd8be5a59a1ffcc0aba3e82f70fb0146dd1,36,,,,,,,,,,,
candidate_10d_density_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/density_fast_fail_audit/candidate_10d_density_summary.csv,True,available,da237dd93551fd9fefb957ed1bf33bb9dc1bb70cb2455d1e06fb37d8bc40bfba,36,,,,,,,,,,,
07_run_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/manifests/run_manifest.json,True,available,3b7274b91a0ba1835edeb87c91b64746aec3a25fbef9b19f47704da2f9d3d316,1,,,,,,,,,,,
