source_pool,label_scope,event_n,label_joined_n,duplicate_join_n,missing_label_n,cost_label_complete_n,cost_label_complete_rate,membership_label_reconciled_n,membership_label_mismatch_n,fail_closed_reason
08_R6_event_regime_gated,all_new_candidate_union,16204,16204,0,0,16168,0.9977783263391755,5512,0,
08_R_core_event_regime_gated,all_new_candidate_union,47914,47914,0,0,47849,0.9986434027632842,17117,0,
