source_pool,model_id,threshold_id,split,episode_regime_bucket,e1_missed_capture_n_definition,post_filter_e1_missed_captured_episode_n,e1_missed_capture_retention
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,train,risk_on,post_filter_selected_events_actual_captured_e1_missed_episode_n,76,0.95
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,validation,risk_on,post_filter_selected_events_actual_captured_e1_missed_episode_n,8,0.6153846153846154
08_R_core_event_regime_gated,supervised_joint_cost_rejector,supervised_joint_cost_rejector__08_R_core_event_regime_gated__keep_080,robustness,risk_on,post_filter_selected_events_actual_captured_e1_missed_episode_n,71,0.8452380952380952
