split,label_left,label_right,left_value,right_value,row_count
train,continuation_h20,continuation_h60,False,False,129965
train,continuation_h20,continuation_h60,False,True,9755
train,continuation_h20,continuation_h60,True,False,14950
train,continuation_h20,continuation_h60,True,True,9502
train,continuation_h20,failed_seed_forward,False,False,103557
train,continuation_h20,failed_seed_forward,False,True,44712
train,continuation_h20,failed_seed_forward,True,False,25741
train,continuation_h20,failed_seed_forward,True,True,0
train,continuation_h60,failed_seed_forward,False,False,105421
train,continuation_h60,failed_seed_forward,False,True,39494
train,continuation_h60,failed_seed_forward,True,False,16500
train,continuation_h60,failed_seed_forward,True,True,2757
validation,continuation_h20,continuation_h60,False,False,83439
validation,continuation_h20,continuation_h60,False,True,2332
validation,continuation_h20,continuation_h60,True,False,7075
validation,continuation_h20,continuation_h60,True,True,2298
validation,continuation_h20,failed_seed_forward,False,False,67184
validation,continuation_h20,failed_seed_forward,False,True,26870
validation,continuation_h20,failed_seed_forward,True,False,9658
validation,continuation_h20,failed_seed_forward,True,True,0
validation,continuation_h60,failed_seed_forward,False,False,66338
validation,continuation_h60,failed_seed_forward,False,True,24176
validation,continuation_h60,failed_seed_forward,True,False,3731
validation,continuation_h60,failed_seed_forward,True,True,899
robustness,continuation_h20,continuation_h60,False,False,75893
robustness,continuation_h20,continuation_h60,False,True,4488
robustness,continuation_h20,continuation_h60,True,False,7865
robustness,continuation_h20,continuation_h60,True,True,4258
robustness,continuation_h20,failed_seed_forward,False,False,72326
robustness,continuation_h20,failed_seed_forward,False,True,17576
robustness,continuation_h20,failed_seed_forward,True,False,13192
robustness,continuation_h20,failed_seed_forward,True,True,0
robustness,continuation_h60,failed_seed_forward,False,False,69095
robustness,continuation_h60,failed_seed_forward,False,True,14663
robustness,continuation_h60,failed_seed_forward,True,False,8001
robustness,continuation_h60,failed_seed_forward,True,True,745
