structure_candidate_id,status,failed_rules,stage
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_23e5f3_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_23e5f3_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_60f76f_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_60f76f_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_a96cae_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_a96cae_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_156070_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_156070_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_23e5f3_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_23e5f3_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_60f76f_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_60f76f_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_a96cae_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_a96cae_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_156070_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_156070_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_ef2d12_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_4e0740_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_ef2d12_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_a96cae_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_312b95_a96cae_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_156070_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_156070_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_23e5f3_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_23e5f3_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_60f76f_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_60f76f_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_a96cae_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_persistence_813ecf_773a15_a96cae_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_156070_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_23e5f3_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_60f76f_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_a96cae_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_156070_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_23e5f3_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
