structure_candidate_id,signal_event_count,future_data_used_flag,eventization_rejection_reason
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,778,False,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_ef2d12_f5ca38,2011,False,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_4e0740_f5ca38,778,False,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_ef2d12_f5ca38,2011,False,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_156070_6b86b2_f5ca38,10523,False,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_23e5f3_6b86b2_f5ca38,10523,False,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_a96cae_6b86b2_f5ca38,10523,False,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_60f76f_6b86b2_f5ca38,3190,False,
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_156070_4e0740_f5ca38,6808,False,
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_23e5f3_4e0740_f5ca38,6808,False,
r02v2_momentum_persistence_persistence_5a4bd9_368191_23e5f3_4e0740_f5ca38,3735,False,
r02v2_momentum_persistence_persistence_5a4bd9_368191_23e5f3_ef2d12_f5ca38,4249,False,
r02v2_momentum_persistence_persistence_5a4bd9_368191_60f76f_4e0740_f5ca38,3735,False,
r02v2_momentum_persistence_persistence_5a4bd9_368191_60f76f_ef2d12_f5ca38,4249,False,
r02v2_momentum_persistence_point_in_window_existence_5a4bd9_368191_156070_6b86b2_f5ca38,7035,False,
r02v2_momentum_persistence_point_in_window_existence_5a4bd9_368191_23e5f3_6b86b2_f5ca38,7035,False,
r02v2_momentum_persistence_point_in_window_existence_5a4bd9_368191_60f76f_6b86b2_f5ca38,7035,False,
r02v2_momentum_persistence_point_in_window_existence_5a4bd9_368191_a96cae_6b86b2_f5ca38,7035,False,
r02v2_near_high_persistence_persistence_29a6c7_8aed64_156070_4e0740_f5ca38,8585,False,
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_4e0740_f5ca38,4820,False,
r02v2_near_high_persistence_persistence_4b3435_8aed64_23e5f3_ef2d12_f5ca38,6489,False,
r02v2_near_high_persistence_persistence_4b3435_8aed64_60f76f_4e0740_f5ca38,4820,False,
r02v2_near_high_persistence_persistence_4b3435_8aed64_60f76f_ef2d12_f5ca38,6489,False,
r02v2_relative_strength_confirmation_persistence_59f3c8_1e9d7c_156070_4e0740_f5ca38,8471,False,
r02v2_relative_strength_confirmation_persistence_59f3c8_1e9d7c_23e5f3_4e0740_f5ca38,8471,False,
r02v2_volume_money_confirmation_persistence_e071ce_77ac31_156070_4e0740_f5ca38,8667,False,
r02v2_volume_money_confirmation_persistence_e071ce_77ac31_a96cae_4e0740_f5ca38,8667,False,
r02v2_volume_money_confirmation_persistence_e071ce_9f29a1_23e5f3_4e0740_f5ca38,4576,False,
r02v2_volume_money_confirmation_persistence_e071ce_9f29a1_23e5f3_ef2d12_f5ca38,6147,False,
r02v2_volume_money_confirmation_persistence_e071ce_9f29a1_60f76f_4e0740_f5ca38,4576,False,
r02v2_volume_money_confirmation_persistence_e071ce_9f29a1_60f76f_ef2d12_f5ca38,6147,False,
