structure_candidate_id,matched_background_coverage,matched_background_coverage_ci90_upper,action_time_background_signal_rate,winner_vs_background_coverage_lift,winner_vs_background_coverage_lift_ci90_lower,generic_strength_proxy_flag,generic_strength_proxy_reason,background_control_policy,non_default_background_policy_reason
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_23e5f3_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_60f76f_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_a96cae_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_156070_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_23e5f3_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_23e5f3_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_60f76f_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_60f76f_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_a96cae_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_773a15_a96cae_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_156070_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_156070_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_23e5f3_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_23e5f3_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_60f76f_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_60f76f_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_a96cae_4e0740_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_3fbc74_91539d_a96cae_ef2d12_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_156070_4e0740_f5ca38,0.10714285714285714,0.11789300638393083,0.003045903756062838,2.041666666666667,1.5829700121672103,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_156070_ef2d12_f5ca38,0.10714285714285714,0.11789300638393083,0.02150341836481319,2.041666666666667,1.5829700121672103,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,0.18035714285714285,0.19372066371290494,0.003045903756062838,1.8193069306930694,1.5054335022478067,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_ef2d12_f5ca38,0.18035714285714285,0.19372066371290494,0.02150341836481319,1.8193069306930694,1.5054335022478067,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_4e0740_f5ca38,0.4433035714285714,0.46056996856797505,0.003045903756062838,1.540785498489426,1.4045066941297513,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_60f76f_ef2d12_f5ca38,0.4433035714285714,0.46056996856797505,0.02150341836481319,1.540785498489426,1.4045066941297513,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_a96cae_4e0740_f5ca38,0.03169642857142857,0.037785524627583014,0.003045903756062838,2.3943661971830985,1.4638095753668845,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_312b95_a96cae_ef2d12_f5ca38,0.03169642857142857,0.037785524627583014,0.02150341836481319,2.3943661971830985,1.4638095753668845,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_156070_4e0740_f5ca38,0.002232142857142857,0.0038724215395003992,0.00014346648126382935,6.0,1.151493741783791,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_156070_ef2d12_f5ca38,0.002232142857142857,0.0038724215395003992,0.000645599165687232,6.0,1.151493741783791,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_23e5f3_4e0740_f5ca38,0.002232142857142857,0.0038724215395003992,0.00014346648126382935,8.0,1.9534698080128536,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_23e5f3_ef2d12_f5ca38,0.002232142857142857,0.0038724215395003992,0.000645599165687232,8.0,1.9534698080128536,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_60f76f_4e0740_f5ca38,0.014285714285714285,0.018410186654566885,0.00014346648126382935,5.625000000000001,3.2172195401270103,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_60f76f_ef2d12_f5ca38,0.014285714285714285,0.018410186654566885,0.000645599165687232,5.625000000000001,3.2172195401270103,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_a96cae_4e0740_f5ca38,0.0004464285714285714,0.0011806396301384384,0.00014346648126382935,30.0,3.7768249129165734,False,,both,
r02v2_acceleration_and_gap_persistence_813ecf_773a15_a96cae_ef2d12_f5ca38,0.0004464285714285714,0.0011806396301384384,0.000645599165687232,30.0,3.7768249129165734,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_156070_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_23e5f3_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_60f76f_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_0602d7_a96cae_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_156070_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_23e5f3_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_60f76f_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_a96cae_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_156070_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_23e5f3_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_60f76f_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_a96cae_6b86b2_f5ca38,0.0,0.0,0.0,,,False,,both,
