instrument_id,episode_id,raw_positive_action_time_rows,positive_rows_after_complete_window_filter,episode_groups_before_first_event_selection,final_winner_event_rows,removed_incomplete_profile_window_rows,removed_split_boundary_rows,stage_a_included
SH600000,r02v2_ep_SH600000_0001,4,4,1,1,0,0,False
SH600009,r02v2_ep_SH600009_0001,69,69,1,1,0,0,True
SH600010,r02v2_ep_SH600010_0001,207,207,1,1,0,0,True
SH600010,r02v2_ep_SH600010_0002,1,1,1,1,0,0,False
SH600010,r02v2_ep_SH600010_0003,77,77,1,1,0,0,False
SH600010,r02v2_ep_SH600010_0004,105,105,1,1,0,0,False
SH600011,r02v2_ep_SH600011_0001,27,27,1,1,0,0,True
SH600011,r02v2_ep_SH600011_0002,80,80,1,1,0,0,True
SH600011,r02v2_ep_SH600011_0003,1,1,1,1,0,0,False
SH600011,r02v2_ep_SH600011_0004,3,3,1,1,0,0,False
SH600011,r02v2_ep_SH600011_0005,7,7,1,1,0,0,False
SH600018,r02v2_ep_SH600018_0001,93,93,1,1,0,0,True
SH600019,r02v2_ep_SH600019_0001,10,10,1,1,0,0,True
SH600019,r02v2_ep_SH600019_0002,49,49,1,1,0,0,True
SH600019,r02v2_ep_SH600019_0003,20,20,1,1,0,0,True
SH600019,r02v2_ep_SH600019_0004,50,50,1,1,0,0,True
SH600023,r02v2_ep_SH600023_0001,20,20,1,1,0,0,False
SH600025,r02v2_ep_SH600025_0001,44,44,1,1,0,0,True
SH600025,r02v2_ep_SH600025_0002,22,22,1,1,0,0,True
SH600025,r02v2_ep_SH600025_0003,41,41,1,1,0,0,True
SH600026,r02v2_ep_SH600026_0001,26,26,1,1,0,0,False
SH600026,r02v2_ep_SH600026_0002,1,1,1,1,0,0,False
SH600028,r02v2_ep_SH600028_0001,73,73,1,1,0,0,False
SH600029,r02v2_ep_SH600029_0001,17,17,1,1,0,0,True
SH600029,r02v2_ep_SH600029_0002,17,17,1,1,0,0,True
SH600030,r02v2_ep_SH600030_0001,80,80,1,1,0,0,True
SH600030,r02v2_ep_SH600030_0002,4,4,1,1,0,0,True
