structure_candidate_id,split,bucket_type,bucket_id,action_time_denominator_n,signal_n,signal_rate,winner_base_rate,winner_given_signal,primary_LR,primary_LR_ci90_lower,posterior_stability_flag
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,轻工制造,1373,2,0.0014566642388929353,0.17341640706126688,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,通信,1947,3,0.0015408320493066256,0.12590361445783133,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,钢铁,2714,8,0.0029476787030213707,0.20735632183908045,0.25,1.2742054693274205,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,银行,19898,4,0.0002010252286661976,0.017777010700724887,0.25,18.417475728155342,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,非银金融,21291,40,0.0018787281010755718,0.09593229593229594,0.05405405405405406,0.5385153264493049,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,industry,食品饮料,11030,15,0.0013599274705349048,0.2385047965597089,0.3076923076923077,1.4190167976575743,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,market_breadth_bucket,20_40,52057,97,0.0018633421057686766,0.13123300090661832,0.28169014084507044,2.5960919773781703,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,market_breadth_bucket,40_60,69473,136,0.0019575950369208183,0.15382680212868893,0.21875,1.5402289596175618,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,market_breadth_bucket,60_80,34933,92,0.00263361291615378,0.15999592971982904,0.3230769230769231,2.50575770424191,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,market_breadth_bucket,gte80,12103,71,0.0058663141369908285,0.11644236395552955,0.140625,1.241662859753312,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,market_breadth_bucket,lt20,12661,22,0.0017376194613379669,0.15269676388334,0.42105263157894735,4.035583464154893,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,liquidity_bucket,q1,36246,31,0.000855266788059372,0.08645480355343896,0.17857142857142858,2.297116801768607,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,liquidity_bucket,q2,36245,58,0.001600220720099324,0.11738645418326693,0.2127659574468085,2.032127158382928,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,liquidity_bucket,q3,36245,73,0.0020140709063319077,0.14913787408337187,0.3793103448275862,3.4865140888396704,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,liquidity_bucket,q4,36245,107,0.002952131328459098,0.17973777487181253,0.23076923076923078,1.36909821941413,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,liquidity_bucket,q5,36246,149,0.0041107984329305305,0.2094712818562191,0.23076923076923078,1.1321772289812966,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,train,market_cap_bucket,missing_mcap,181227,418,0.00230649958339541,0.14530399652766185,0.2507936507936508,1.9690158041500498,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,calendar_year,2022,54682,59,0.0010789656559745437,0.06133046493944845,0.125,2.1864443388483306,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,calendar_year,2023,54288,21,0.0003868258178603006,0.03144880135139992,0.16666666666666666,6.159542857142858,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,交通运输,6513,3,0.00046061722708429296,0.005277601857715854,0.3333333333333333,94.24000000000001,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,传媒,760,1,0.0013157894736842105,0.025925925925925925,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,公用事业,5881,3,0.0005101173269852066,0.009926731269203497,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,农林牧渔,1389,0,0.0,0.0,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,医药生物,6212,4,0.000643915003219575,0.01246507629486353,0.0,0.0,,False
