check_id,provider,board_type,role,api,sample_symbol,status,rows,cols,columns,first_date,last_date,sample_path,elapsed_seconds,error_type,error_message,history_interpretation,pit_membership_verdict
em_industry_name,eastmoney,industry,current_board_list,stock_board_industry_name_em,,ok,496,12,排名;板块名称;板块代码;最新价;涨跌额;涨跌幅;总市值;换手率;上涨家数;下跌家数;领涨股票;领涨股票-涨跌幅,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_industry_name.csv,4.771,,,current board list only,not_proven
em_industry_cons_current,eastmoney,industry,current_membership,stock_board_industry_cons_em,小金属,ok,25,16,序号;代码;名称;最新价;涨跌幅;涨跌额;成交量;成交额;振幅;最高;最低;今开;昨收;换手率;市盈率-动态;市净率,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_industry_cons_current.csv,4.312,,,current constituents only; no effective_date,not_proven
em_industry_hist_ohlcv,eastmoney,industry,historical_board_index_ohlcv,stock_board_industry_hist_em,小金属,ok,118,11,日期;开盘;收盘;最高;最低;涨跌幅;涨跌额;成交量;成交额;振幅;换手率,2024-01-02,2024-07-01,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_industry_hist_ohlcv.csv,0.047,,,"historical board index OHLCV, not historical membership",not_proven
em_industry_spot_current,eastmoney,industry,current_board_quote,stock_board_industry_spot_em,小金属,ok,10,2,item;value,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_industry_spot_current.csv,0.174,,,current board quote only,not_proven
em_concept_name,eastmoney,concept,current_board_list,stock_board_concept_name_em,,ok,495,12,排名;板块名称;板块代码;最新价;涨跌额;涨跌幅;总市值;换手率;上涨家数;下跌家数;领涨股票;领涨股票-涨跌幅,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_concept_name.csv,4.938,,,current board list only,not_proven
em_concept_cons_current,eastmoney,concept,current_membership,stock_board_concept_cons_em,融资融券,timeout,,,,,,,45.000,CallTimeoutError,call exceeded 45s,current constituents only; no effective_date,not_proven
em_concept_hist_ohlcv,eastmoney,concept,historical_board_index_ohlcv,stock_board_concept_hist_em,绿色电力,ok,118,11,日期;开盘;收盘;最高;最低;涨跌幅;涨跌额;成交量;成交额;振幅;换手率,2024-01-02,2024-07-01,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_concept_hist_ohlcv.csv,0.068,,,"historical board index OHLCV, not historical membership",not_proven
em_concept_spot_current,eastmoney,concept,current_board_quote,stock_board_concept_spot_em,可燃冰,ok,10,2,item;value,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/em_concept_spot_current.csv,0.076,,,current board quote only,not_proven
ths_industry_name,ths,industry,current_board_list,stock_board_industry_name_ths,,ok,90,2,name;code,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/ths_industry_name.csv,0.420,,,current board list only,not_proven
ths_industry_cons_missing,ths,industry,current_membership,stock_board_industry_cons_ths,半导体,api_missing,,,,,,,0.000,AttributeError,akshare.stock_board_industry_cons_ths is not available,expected missing in akshare 1.18.10,not_proven
ths_industry_hist_membership_missing,ths,industry,historical_membership,stock_board_industry_hist_ths,半导体,api_missing,,,,,,,0.000,AttributeError,akshare.stock_board_industry_hist_ths is not available,expected missing in akshare 1.18.10,not_proven
ths_industry_info_current,ths,industry,current_board_info,stock_board_industry_info_ths,半导体,ok,10,2,项目;值,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/ths_industry_info_current.csv,0.094,,,current board quote/info only,not_proven
ths_industry_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,半导体,ok,118,7,日期;开盘价;最高价;最低价;收盘价;成交量;成交额,2024-01-02,2024-07-01,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/ths_industry_index_ohlcv.csv,0.238,,,"historical board index OHLCV, not historical membership",not_proven
ths_industry_summary_current,ths,industry,current_board_overview,stock_board_industry_summary_ths,,ok,90,12,序号;板块;涨跌幅;总成交量;总成交额;净流入;上涨家数;下跌家数;均价;领涨股;领涨股-最新价;领涨股-涨跌幅,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_availability_smoke/samples/ths_industry_summary_current.csv,0.652,,,current industry overview only,not_proven
