item,path,status
provider_uri,Explore1/data/qlib/cn_data,ok
universe_csv,Explore5/data/universe/mcap500_mainboard_20251231.csv,ok
universe_qlib,Explore5/data/universe/qlib_mcap500_mainboard_20251231.txt,ok
target_history,Explore5/data/targets/target_history.csv,ok
source_explore4_config,Explore4/configs/trend_rule_v1_frozen.yaml,ok
static_universe_bias,Explore1/data/universe/mcap500_mainboard_20251231.csv,not_point_in_time
