field,present,rows,missing_rows,min_date,max_date
open,True,594792,4740,2017-01-03,2026-04-30
high,True,594792,4740,2017-01-03,2026-04-30
low,True,594792,4740,2017-01-03,2026-04-30
close,True,594792,4740,2017-01-03,2026-04-30
volume,True,594792,4740,2017-01-03,2026-04-30
money,True,594792,4740,2017-01-03,2026-04-30
factor,True,594792,4740,2017-01-03,2026-04-30
