version,candidate_type,best_fold,worst_fold,positive_valid_years,controlled_flat_years,qualified_valid_years,worst_year_drawdown,worst_fold_drawdown,fold_return_concentration,year_return_concentration,trade_ratio_vs_baseline,pass_year_drawdown,pass_fold_drawdown,selected_for_freeze,width_weak_pullback_trades,width_weak_pullback_return,pass_width_weak_pullback,industry_sync_off_pullback_trades,industry_sync_off_pullback_return,pass_industry_sync_off_pullback
frozen_fixed_weight,baseline,WF4,WF3,0,0,0,-0.11661158398894778,-0.18811427591753904,,,1.0,True,True,False,0,0.0,True,0,0.0,True
risk_unit_with_industry_cap,candidate_baseline,WF4,WF1,1,0,1,-0.07307939630345628,-0.12137024689304665,,1.0,0.9874776386404294,True,True,False,0,0.0,True,0,0.0,True
breakout_only_diagnostic,diagnostic_only,WF2,WF3,2,1,3,-0.033457864723423936,-0.05197213794166966,0.4695253417600165,0.7930949966989486,0.2504472271914132,True,True,False,0,0.0,True,0,0.0,True
pullback_regime_gated_diagnostic,diagnostic_only,WF2,WF3,2,0,2,-0.05658926044018031,-0.09107286966623984,0.5610957652542587,0.8913543407833171,0.5420393559928444,True,True,False,0,0.0,True,0,0.0,True
