version,calendar_year,year_return_with_cost,max_drawdown,trades,net_pnl_sum,year_instances,folds
breakout_only_diagnostic,2019,-0.009151036865925999,-0.033457864723423936,24.0,-18972.367055535316,1,WF1
breakout_only_diagnostic,2020,0.005146816545995192,-0.02501328654497259,26.5,12297.475306951996,2,"WF1,WF2"
breakout_only_diagnostic,2021,-0.0033830573973267497,-0.01278989538275066,4.5,-6826.563757276537,2,"WF2,WF3"
breakout_only_diagnostic,2022,-0.011163964986814878,-0.012387803556488053,7.0,-10000.877064049244,2,"WF3,WF4"
breakout_only_diagnostic,2023,0.019728447289488082,-0.010798509823077618,8.0,19630.35305333138,2,"WF4,WF5"
breakout_only_diagnostic,2024,-0.015521588913359197,-0.023931407616091138,24.0,-15901.477071285248,1,WF5
frozen_fixed_weight,2019,-0.04513538849643439,-0.10956629726813871,73.0,-64812.61471840143,1,WF1
frozen_fixed_weight,2020,-0.015189725489655859,-0.11623486448485676,96.5,181.91649934651014,2,"WF1,WF2"
frozen_fixed_weight,2021,-0.034430403360666495,-0.06279438773551094,27.5,-46709.16937944889,2,"WF2,WF3"
frozen_fixed_weight,2022,-0.03953922817178601,-0.04870718658282758,18.0,-32291.34675177335,2,"WF3,WF4"
frozen_fixed_weight,2023,-0.0004724418621551152,-0.05142453820465165,32.0,318.79326233864504,2,"WF4,WF5"
frozen_fixed_weight,2024,-0.04774597236458489,-0.11661158398894778,138.0,-50255.35162281989,1,WF5
pullback_regime_gated_diagnostic,2019,-0.01288549514818238,-0.05658926044018031,46.0,-23301.202266073215,1,WF1
pullback_regime_gated_diagnostic,2020,0.0015293866858322458,-0.04299918302843697,59.5,9006.067194855217,2,"WF1,WF2"
pullback_regime_gated_diagnostic,2021,-0.00868143038831376,-0.019421730100134482,11.0,-12136.88648952246,2,"WF2,WF3"
pullback_regime_gated_diagnostic,2022,-0.011986819796165726,-0.013215231086142198,8.0,-10804.464313757418,2,"WF3,WF4"
pullback_regime_gated_diagnostic,2023,0.012547445254429967,-0.01642816151938742,15.0,12480.355914688114,2,"WF4,WF5"
pullback_regime_gated_diagnostic,2024,-0.012046106522177857,-0.03090844916778035,70.0,-12829.712785172469,1,WF5
risk_unit_with_industry_cap,2019,-0.028037699883162848,-0.07012057821799933,72.0,-40657.61580990552,1,WF1
risk_unit_with_industry_cap,2020,-0.022517891089981923,-0.07307939630345628,97.5,-12763.536685311796,2,"WF1,WF2"
risk_unit_with_industry_cap,2021,-0.019703908020465566,-0.03500180170941869,25.0,-27048.101232004174,2,"WF2,WF3"
risk_unit_with_industry_cap,2022,-0.022992850109142704,-0.028711435274692998,18.0,-18876.688999581336,2,"WF3,WF4"
risk_unit_with_industry_cap,2023,0.0005298291721508308,-0.0326352391944883,32.0,1006.2461215496039,2,"WF4,WF5"
risk_unit_with_industry_cap,2024,-0.025762135975372247,-0.06851333596220477,135.0,-27408.875883197794,1,WF5
