oracle_id,oracle_variant_id,primary_variant,split_bucket,cost_bps,q_defend,signed_drawdown_threshold,drawdown_predicate,expected_step_n,observed_step_n,defended_step_n,mean_incremental_return,trimmed_mean_incremental_return,forward_return_replay_abs_diff_max,signed_max_drawdown_replay_abs_diff_max,positive_abs_drawdown_used_for_o2_threshold,drawdown_sign_convention_gate,qfq_lineage_reconciliation_gate,o2_drawdown_replay_gate,blocking_reason
O2,O2_dd_08pct_stress,False,robustness,50,0.0,-0.08,signed_max_drawdown_h20 <= -0.08,2496,2496,731,0.020213195709149204,0.020596395534609083,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_08pct_stress,False,train,50,0.0,-0.08,signed_max_drawdown_h20 <= -0.08,20245,20245,6490,0.026318473461862748,0.026349057270229712,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_08pct_stress,False,validation,50,0.0,-0.08,signed_max_drawdown_h20 <= -0.08,664,664,237,0.029309258567158252,0.02950429234468579,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_10pct_primary,True,robustness,50,0.0,-0.1,signed_max_drawdown_h20 <= -0.10,2496,2496,526,0.018510829094436836,0.01821996280994784,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_10pct_primary,True,train,50,0.0,-0.1,signed_max_drawdown_h20 <= -0.10,20245,20245,4877,0.02444393176069491,0.023663571773710614,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_10pct_primary,True,validation,50,0.0,-0.1,signed_max_drawdown_h20 <= -0.10,664,664,180,0.027962851323944507,0.027143540657962224,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_12pct_stress,False,robustness,50,0.0,-0.12,signed_max_drawdown_h20 <= -0.12,2496,2496,369,0.015294558198042901,0.014644459125589007,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_12pct_stress,False,train,50,0.0,-0.12,signed_max_drawdown_h20 <= -0.12,20245,20245,3583,0.021287744890870906,0.019822622557836976,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_12pct_stress,False,validation,50,0.0,-0.12,signed_max_drawdown_h20 <= -0.12,664,664,133,0.023956664452125773,0.022784467032872763,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_15pct_stress,False,robustness,50,0.0,-0.15,signed_max_drawdown_h20 <= -0.15,2496,2496,211,0.010933563753926921,0.009261697559478796,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_15pct_stress,False,train,50,0.0,-0.15,signed_max_drawdown_h20 <= -0.15,20245,20245,2204,0.015947218253544476,0.01377817321895088,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_15pct_stress,False,validation,50,0.0,-0.15,signed_max_drawdown_h20 <= -0.15,664,664,77,0.016189379656556126,0.014089289656894835,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_20pct_stress,False,robustness,50,0.0,-0.2,signed_max_drawdown_h20 <= -0.20,2496,2496,71,0.005593273876132349,0.003252092142492305,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_20pct_stress,False,train,50,0.0,-0.2,signed_max_drawdown_h20 <= -0.20,20245,20245,903,0.008457229974274599,0.00581970959728601,0.0,0.0,False,pass,pass,pass,
O2,O2_dd_20pct_stress,False,validation,50,0.0,-0.2,signed_max_drawdown_h20 <= -0.20,664,664,33,0.008565633388048248,0.006152673350898195,0.0,0.0,False,pass,pass,pass,
