oracle_id,oracle_variant_id,oracle_variant_name,primary_variant,split_bucket,cost_bps,q_defend,neutral_action_rule,labelable_step_n,neutral_step_n,primary_binary_step_n,neutral_mean_incremental_return,neutral_sum_incremental_return,primary_binary_mean_incremental_return,labelable_stress_mean_incremental_return,neutral_stress_gate,blocking_reason
O1,O1_negative_primary,Label negative primary,True,train,0,0.0,continue,20245,5283,14962,0.0,0.0,0.034711348679581755,0.025653306937214237,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,0,0.0,continue,2496,624,1872,0.0,0.0,0.026086019989163645,0.01956451499187273,pass,
O1,O1_negative_primary,Label negative primary,True,validation,0,0.0,continue,664,159,505,0.0,0.0,0.038549174810097335,0.0293182730106915,pass,
O1,O1_negative_primary,Label negative primary,True,train,0,0.25,continue,20245,5283,14962,0.0,0.0,0.026033511509686316,0.019239980202910675,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,0,0.25,continue,2496,624,1872,0.0,0.0,0.019564514991872735,0.014673386243904551,pass,
O1,O1_negative_primary,Label negative primary,True,validation,0,0.25,continue,664,159,505,0.0,0.0,0.028911881107573003,0.021988704758018625,pass,
O1,O1_negative_primary,Label negative primary,True,train,0,0.5,continue,20245,5283,14962,0.0,0.0,0.017355674339790877,0.012826653468607119,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,0,0.5,continue,2496,624,1872,0.0,0.0,0.013043009994581823,0.009782257495936366,pass,
O1,O1_negative_primary,Label negative primary,True,validation,0,0.5,continue,664,159,505,0.0,0.0,0.019274587405048667,0.01465913650534575,pass,
O1,O1_negative_primary,Label negative primary,True,train,25,0.0,continue,20245,5283,14962,0.0,0.0,0.033895281308909384,0.02505019505773782,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,25,0.0,continue,2496,624,1872,0.0,0.0,0.025383562724206377,0.019037672043154784,pass,
O1,O1_negative_primary,Label negative primary,True,validation,25,0.0,continue,664,159,505,0.0,0.0,0.03765808570118644,0.028640562167318005,pass,
O1,O1_negative_primary,Label negative primary,True,train,25,0.25,continue,20245,5283,14962,0.0,0.0,0.025217444139013945,0.018636868323434263,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,25,0.25,continue,2496,624,1872,0.0,0.0,0.01886205772691547,0.0141465432951866,pass,
O1,O1_negative_primary,Label negative primary,True,validation,25,0.25,continue,664,159,505,0.0,0.0,0.02802079199866211,0.02131099391464513,pass,
O1,O1_negative_primary,Label negative primary,True,train,25,0.5,continue,20245,5283,14962,0.0,0.0,0.016539606969118506,0.012223541589130704,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,25,0.5,continue,2496,624,1872,0.0,0.0,0.012340552729624556,0.009255414547218418,pass,
O1,O1_negative_primary,Label negative primary,True,validation,25,0.5,continue,664,159,505,0.0,0.0,0.018383498296137776,0.013981425661972254,pass,
O1,O1_negative_primary,Label negative primary,True,train,50,0.0,continue,20245,5283,14962,0.0,0.0,0.03307921393823701,0.024447083178261407,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,50,0.0,continue,2496,624,1872,0.0,0.0,0.024681105459249113,0.018510829094436836,pass,
O1,O1_negative_primary,Label negative primary,True,validation,50,0.0,continue,664,159,505,0.0,0.0,0.03676699659227555,0.027962851323944507,pass,
O1,O1_negative_primary,Label negative primary,True,train,50,0.25,continue,20245,5283,14962,0.0,0.0,0.024401376768341573,0.018033756443957848,pass,
O1,O1_negative_primary,Label negative primary,True,robustness,50,0.25,continue,2496,624,1872,0.0,0.0,0.0181596004619582,0.013619700346468649,pass,
