oracle_id,oracle_name,oracle_variant_id,oracle_variant_name,primary_variant,oracle_status,split_bucket,denominator_type,action_intensity_id,q_defend,cost_bps,expected_step_n,observed_step_n,defended_step_n,continued_step_n,defended_rate,mean_incremental_return,median_incremental_return,trimmed_mean_incremental_return,winsorized_mean_incremental_return,sum_incremental_return,ev_per_exposure_day,transaction_cost_sum,exposure_days_removed,defended_positive_opportunity_cost,defended_negative_gain,defended_neutral_gain,continued_negative_leakage,continued_positive_retained,net_full_denominator_utility,ladder_metric_gate,blocking_reason
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,full_defend_exit_cash,0.0,0,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,full_defend_exit_cash,0.0,0,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,validation,labelable_full,full_defend_exit_cash,0.0,0,664,664,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467333279099158,44.01747836155606,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,partial_defend_25pct,0.25,0,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,partial_defend_25pct,0.25,0,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,validation,labelable_full,partial_defend_25pct,0.25,0,664,664,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467333279099158,44.01747836155606,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,partial_defend_50pct,0.5,0,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,partial_defend_50pct,0.5,0,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,validation,labelable_full,partial_defend_50pct,0.5,0,664,664,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467333279099158,44.01747836155606,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,full_defend_exit_cash,0.0,25,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,full_defend_exit_cash,0.0,25,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,validation,labelable_full,full_defend_exit_cash,0.0,25,664,664,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467333279099158,44.01747836155606,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,partial_defend_25pct,0.25,25,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,partial_defend_25pct,0.25,25,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,validation,labelable_full,partial_defend_25pct,0.25,25,664,664,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467333279099158,44.01747836155606,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,partial_defend_50pct,0.5,25,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,partial_defend_50pct,0.5,25,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,validation,labelable_full,partial_defend_50pct,0.5,25,664,664,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.467333279099158,44.01747836155606,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,train,labelable_full,full_defend_exit_cash,0.0,50,20245,20245,0,20245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-519.3511989439022,1144.222141952883,0.0,pass,
O0,No Oracle Baseline,O0_blind_continue_primary,Blind continue all,True,materialized,robustness,labelable_full,full_defend_exit_cash,0.0,50,2496,2496,0,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.83302941971434,160.66313909951037,0.0,pass,
