artifact_key,artifact_role,required_flag,resolved_path,relative_path,source_phase_id,row_count,sha256,schema_status,lineage_status,row_key_status,gate_status,blocking_reason
requirement,local_contract,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17b_oracle_ladder_replay.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17b_oracle_ladder_replay.md,17B,1200,0fade15bbc86f8303691752d5792139fdc8e27513d8b40b6618ac6f82ab1db0e,pass,pass,not_applicable,pass,
research_plan,local_contract,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,17B,1152,6ca172e3c2587e2042b3a914537208e45523ec53e9d0c139ab4bcd139a8259b7,pass,pass,not_applicable,pass,
stock_daily_qfq_dir,qfq_price_source,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,data/raw/akshare/day/qfq,17B,4598,,pass,pass,not_applicable,pass,
seventeen_a_decision,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/oracle_replay_contract_decision.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/oracle_replay_contract_decision.csv,17A,1,c40481003bf970f9742cf7daa8cc475ea1f15d1cf2a8497caaa86b8dd020daa8,pass,pass,not_applicable,pass,
seventeen_a_denominator_lineage_audit,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/denominator_lineage_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/denominator_lineage_audit.csv,17A,3,0e59cd6064c5dc3e8b41c234a7f196e145954a20279263f995bd69cef887e64f,pass,pass,not_applicable,pass,
seventeen_a_oracle_denominator_binding,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/oracle_denominator_binding.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/oracle_denominator_binding.csv,17A,9,2a1b537772dd15cdfcb1994a807a01b4ca065595d13829771991b2d1cb8657ac,pass,pass,not_applicable,pass,
seventeen_a_action_semantics_audit,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/action_semantics_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/action_semantics_audit.csv,17A,6,507f5a5dd643971fe500d5d8983cf63675ebfb5352605673cceee6072210274e,pass,pass,not_applicable,pass,
seventeen_a_replay_price_path_audit,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/replay_price_path_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/replay_price_path_audit.csv,17A,3,cf5bc94198475f958576936501e048430ee895226c8a57f38e717e0c1efb8f32,pass,pass,not_applicable,pass,
seventeen_a_delayed_materialization_audit,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/delayed_materialization_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/delayed_materialization_audit.csv,17A,9,188990c5ecb939fe537b94ace664a9c046318e7061aaef236b51c3cf2b34ef16,pass,pass,not_applicable,pass,
seventeen_a_input_artifact_audit,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/input_artifact_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/input_artifact_audit.csv,17A,32,155ab967ddf7abec88ddfeb6da7c2dc7eb0b133e7d7531327375feb6c8063e71,pass,pass,not_applicable,pass,
seventeen_a_denominator_contract,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_denominator_contract.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_denominator_contract.md,17A,21,18ff78b77ee0312ec4be6b29d3712fe5d3cf480776396a97162ea722c3b34a9e,pass,pass,not_applicable,pass,
seventeen_a_action_contract,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_action_contract.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_action_contract.md,17A,22,396aed709644fd676394281595c1716cb3e87a8dc6ccb536346d8f11f6978fc4,pass,pass,not_applicable,pass,
seventeen_a_replay_engine_manifest,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_replay_engine_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_replay_engine_manifest.json,17A,55,0773a263e786e361a6bc282be7b4f9b490ccbaeeb76a1a59e3f1313f1a057f58,pass,pass,not_applicable,pass,
seventeen_a_input_artifact_manifest,17a_machine_gate,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/input_artifact_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/input_artifact_manifest.json,17A,514,85b8e1835f61873c80c79bcff642aa58f9f607936e6b91d9e5aa4ea3e6616052,pass,pass,not_applicable,pass,
upstream_16e_utility_panel,required_row_level_replay_source,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16E_sequential_continuation_utility_diagnostic/utility_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16E_sequential_continuation_utility_diagnostic/utility_panel.parquet,16E,93620,c17ac602e3ae4b7c2c2d70d2d7178091782a978983d192c89b908c8a96362713,pass,pass,pass,pass,
