split_bucket,denominator_type,expected_step_n,observed_step_n,duplicate_primary_row_key_n,missing_primary_row_key_field_n,missing_qfq_instrument_n,bad_step_bounds_n,nonfinite_close_n,nonpositive_close_n,forward_return_replay_abs_diff_max,signed_max_drawdown_replay_abs_diff_max,drawdown_abs_replay_abs_diff_max,positive_abs_drawdown_used_for_o2_threshold,drawdown_sign_convention_gate,row_replay_gate,blocking_reason
train,labelable_full,20245,20245,0,0,0,0,0,0,0.0,0.0,0.0,False,pass,pass,
train,binary_primary,14962,14962,0,0,0,0,0,0,0.0,0.0,0.0,False,pass,pass,
robustness,labelable_full,2496,2496,0,0,0,0,0,0,0.0,0.0,0.0,False,pass,pass,
robustness,binary_primary,1872,1872,0,0,0,0,0,0,0.0,0.0,0.0,False,pass,pass,
validation,labelable_full,664,664,0,0,0,0,0,0,0.0,0.0,0.0,False,pass,pass,
validation,binary_primary,505,505,0,0,0,0,0,0,0.0,0.0,0.0,False,pass,pass,
