split,factor,rows,finite_rows,finite_ratio
train,close_momentum_20d,154121,146467,0.950337721660254
train,close_reversal_5d,154121,152017,0.9863483886037594
train,daily_close_location_value,154121,153921,0.9987023183083421
train,volume_surprise_20d,154121,145559,0.9444462467801273
validation,close_momentum_20d,118860,115979,0.9757613999663469
validation,close_reversal_5d,118860,118089,0.9935133770822817
validation,daily_close_location_value,118860,118825,0.9997055359246172
validation,volume_surprise_20d,118860,115757,0.9738936564024904
historical_test,close_momentum_20d,190305,185572,0.9751293975460446
historical_test,close_reversal_5d,190305,188972,0.99299545466488
historical_test,daily_close_location_value,190305,190230,0.9996058957988492
historical_test,volume_surprise_20d,190305,185063,0.9724547437009012
