variant,metric,positive_seed_count,seed_count,median_paired_delta,min_paired_delta,max_paired_delta
plus_close_momentum_20d,historical_test_paper_proxy_ic,4,5,0.0018095312146357697,-0.0004400432799686084,0.005631416683335484
plus_close_momentum_20d,historical_test_executable_bridge_ic,5,5,0.005850372486892517,0.004361574277058914,0.008324869888870094
plus_close_momentum_20d,historical_test_paper_proxy_net_arr,4,5,0.023007502478447517,-0.026350185712814778,0.1224527363463217
plus_close_momentum_20d,historical_test_executable_bridge_net_arr,4,5,0.03686954543023879,-0.015406453998192404,0.144738712871622
plus_close_reversal_5d,historical_test_paper_proxy_ic,5,5,0.0017801250680933856,0.001224004914854626,0.0036877865643710605
plus_close_reversal_5d,historical_test_executable_bridge_ic,5,5,0.0032572155179035472,0.001969174913610013,0.004348974527527524
plus_close_reversal_5d,historical_test_paper_proxy_net_arr,2,5,-0.040231853876021795,-0.06074576343419702,0.08447836636316497
plus_close_reversal_5d,historical_test_executable_bridge_net_arr,2,5,-0.03161329243876465,-0.05038243259016917,0.07447061644471509
plus_daily_close_location_value,historical_test_paper_proxy_ic,1,5,-0.003776838511759234,-0.005464532067751618,0.0024321362235439755
plus_daily_close_location_value,historical_test_executable_bridge_ic,2,5,-0.0003828860372969804,-0.0004530651294809684,0.011171694810256615
plus_daily_close_location_value,historical_test_paper_proxy_net_arr,2,5,-0.05204842833058643,-0.09882472968963918,0.035245104565029495
plus_daily_close_location_value,historical_test_executable_bridge_net_arr,1,5,-0.047498833540069896,-0.0929504707065274,0.04403189202055158
plus_volume_surprise_20d,historical_test_paper_proxy_ic,2,5,-0.00025808683036301124,-0.0012089018306741719,0.0029473007076191125
plus_volume_surprise_20d,historical_test_executable_bridge_ic,4,5,0.003164122902080976,-0.002349558172560817,0.007131279556059612
plus_volume_surprise_20d,historical_test_paper_proxy_net_arr,4,5,0.01715581032572655,-0.047416268674211004,0.14079129212128594
plus_volume_surprise_20d,historical_test_executable_bridge_net_arr,4,5,0.022913907103664366,-0.05179012364514035,0.1566099762882862
plus_all_four,historical_test_paper_proxy_ic,2,5,-0.0019490744448802675,-0.006208553300804878,0.0037943413473892603
plus_all_four,historical_test_executable_bridge_ic,5,5,0.0056053123908937266,0.002733847813374454,0.009388027974740445
plus_all_four,historical_test_paper_proxy_net_arr,4,5,0.03239420097813883,-0.005013690848309604,0.16422281956179607
plus_all_four,historical_test_executable_bridge_net_arr,5,5,0.04924054597085514,0.004442959606627328,0.14133629192509467
