variant,metric,median,baseline_median,delta
alpha20,validation_paper_proxy_ic,0.009969150452427245,0.009969150452427245,0.0
alpha20,validation_executable_bridge_ic,0.005280134168005525,0.005280134168005525,0.0
alpha20,historical_test_paper_proxy_ic,0.007892156227554875,0.007892156227554875,0.0
alpha20,historical_test_executable_bridge_ic,0.008477044121185785,0.008477044121185785,0.0
alpha20,historical_test_paper_proxy_net_arr,0.13130848836350117,0.13130848836350117,0.0
alpha20,historical_test_executable_bridge_net_arr,0.14839362702839987,0.14839362702839987,0.0
alpha20,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.7681014336909746,-0.7681014336909746,0.0
alpha20,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.7218958523512763,-0.7218958523512763,0.0
alpha20,historical_test_paper_proxy_mdd,-0.16710235992677136,-0.16710235992677136,0.0
alpha20,historical_test_executable_bridge_mdd,-0.20212186321963144,-0.20212186321963144,0.0
plus_close_momentum_20d,validation_paper_proxy_ic,0.013307325744861225,0.009969150452427245,0.0033381752924339803
plus_close_momentum_20d,validation_executable_bridge_ic,0.01285359023205962,0.005280134168005525,0.007573456064054095
plus_close_momentum_20d,historical_test_paper_proxy_ic,0.009725727960435054,0.007892156227554875,0.0018335717328801793
plus_close_momentum_20d,historical_test_executable_bridge_ic,0.014693801035507539,0.008477044121185785,0.006216756914321754
plus_close_momentum_20d,historical_test_paper_proxy_net_arr,0.18148397445713393,0.13130848836350117,0.05017548609363276
plus_close_momentum_20d,historical_test_executable_bridge_net_arr,0.1941965818919047,0.14839362702839987,0.04580295486350483
plus_close_momentum_20d,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.3015426503588042,-0.7681014336909746,0.46655878333217043
plus_close_momentum_20d,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.3291966161684212,-0.7218958523512763,0.39269923618285507
plus_close_momentum_20d,historical_test_paper_proxy_mdd,-0.17485289672020765,-0.16710235992677136,-0.007750536793436291
plus_close_momentum_20d,historical_test_executable_bridge_mdd,-0.22584107649771612,-0.20212186321963144,-0.023719213278084683
plus_close_reversal_5d,validation_paper_proxy_ic,0.011201703274904601,0.009969150452427245,0.0012325528224773567
plus_close_reversal_5d,validation_executable_bridge_ic,0.008193951347257065,0.005280134168005525,0.00291381717925154
plus_close_reversal_5d,historical_test_paper_proxy_ic,0.010602625556968823,0.007892156227554875,0.0027104693294139476
plus_close_reversal_5d,historical_test_executable_bridge_ic,0.011131202014030379,0.008477044121185785,0.002654157892844594
plus_close_reversal_5d,historical_test_paper_proxy_net_arr,0.12078205404602427,0.13130848836350117,-0.010526434317476907
plus_close_reversal_5d,historical_test_executable_bridge_net_arr,0.13109424487856236,0.14839362702839987,-0.017299382149837506
plus_close_reversal_5d,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.9353203490200377,-0.7681014336909746,-0.16721891532906308
plus_close_reversal_5d,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.8987223547658183,-0.7218958523512763,-0.176826502414542
plus_close_reversal_5d,historical_test_paper_proxy_mdd,-0.18028328977606844,-0.16710235992677136,-0.013180929849297085
plus_close_reversal_5d,historical_test_executable_bridge_mdd,-0.22008400658017124,-0.20212186321963144,-0.017962143360539806
