filter_id,candidate_ordinal,candidate_type,filter_family_id,family_pair_id,primitive_id_1,primitive_id_2,threshold_rule_1,threshold_rule_2,threshold_value_1,threshold_value_2,filter_formula,bullish_score_formula_1,bullish_score_formula_2,candidate_grid_status
stock_vs_board_20d__top_50pct,1,single_filter,relative_strength,,stock_vs_board_20d,,top_50pct,,-0.04099139897345405,,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_50pct),stock_vs_board_20d,,pass
stock_vs_board_20d__top_40pct,2,single_filter,relative_strength,,stock_vs_board_20d,,top_40pct,,-0.02930978256831016,,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_40pct),stock_vs_board_20d,,pass
stock_vs_board_20d__top_30pct,3,single_filter,relative_strength,,stock_vs_board_20d,,top_30pct,,-0.01640073860861642,,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_30pct),stock_vs_board_20d,,pass
stock_vs_board_20d__top_20pct,4,single_filter,relative_strength,,stock_vs_board_20d,,top_20pct,,-0.00045785227831770874,,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_20pct),stock_vs_board_20d,,pass
ret_20d__top_50pct,5,single_filter,relative_strength,,ret_20d,,top_50pct,,0.0,,base_compression_state AND ret_20d_bullish_score >= train_threshold(top_50pct),ret_20d,,pass
ret_20d__top_40pct,6,single_filter,relative_strength,,ret_20d,,top_40pct,,0.014169738578074752,,base_compression_state AND ret_20d_bullish_score >= train_threshold(top_40pct),ret_20d,,pass
ret_20d__top_30pct,7,single_filter,relative_strength,,ret_20d,,top_30pct,,0.029197080291970767,,base_compression_state AND ret_20d_bullish_score >= train_threshold(top_30pct),ret_20d,,pass
ret_20d__top_20pct,8,single_filter,relative_strength,,ret_20d,,top_20pct,,0.04751004242700964,,base_compression_state AND ret_20d_bullish_score >= train_threshold(top_20pct),ret_20d,,pass
close_vs_sma20__top_50pct,9,single_filter,relative_strength,,close_vs_sma20,,top_50pct,,0.0019518542615484247,,base_compression_state AND close_vs_sma20_bullish_score >= train_threshold(top_50pct),close_vs_sma20,,pass
close_vs_sma20__top_40pct,10,single_filter,relative_strength,,close_vs_sma20,,top_40pct,,0.009092400728416414,,base_compression_state AND close_vs_sma20_bullish_score >= train_threshold(top_40pct),close_vs_sma20,,pass
close_vs_sma20__top_30pct,11,single_filter,relative_strength,,close_vs_sma20,,top_30pct,,0.017063013417105165,,base_compression_state AND close_vs_sma20_bullish_score >= train_threshold(top_30pct),close_vs_sma20,,pass
close_vs_sma20__top_20pct,12,single_filter,relative_strength,,close_vs_sma20,,top_20pct,,0.027299989364180856,,base_compression_state AND close_vs_sma20_bullish_score >= train_threshold(top_20pct),close_vs_sma20,,pass
stock_vs_board_5d__top_50pct,13,single_filter,relative_strength,,stock_vs_board_5d,,top_50pct,,-0.00973059119841666,,base_compression_state AND stock_vs_board_5d_bullish_score >= train_threshold(top_50pct),stock_vs_board_5d,,pass
stock_vs_board_5d__top_40pct,14,single_filter,relative_strength,,stock_vs_board_5d,,top_40pct,,-0.004227633348533113,,base_compression_state AND stock_vs_board_5d_bullish_score >= train_threshold(top_40pct),stock_vs_board_5d,,pass
stock_vs_board_5d__top_30pct,15,single_filter,relative_strength,,stock_vs_board_5d,,top_30pct,,0.0021037399286940577,,base_compression_state AND stock_vs_board_5d_bullish_score >= train_threshold(top_30pct),stock_vs_board_5d,,pass
stock_vs_board_5d__top_20pct,16,single_filter,relative_strength,,stock_vs_board_5d,,top_20pct,,0.01023392037703909,,base_compression_state AND stock_vs_board_5d_bullish_score >= train_threshold(top_20pct),stock_vs_board_5d,,pass
ret_5d__top_50pct,17,single_filter,relative_strength,,ret_5d,,top_50pct,,0.002083333333333215,,base_compression_state AND ret_5d_bullish_score >= train_threshold(top_50pct),ret_5d,,pass
ret_5d__top_40pct,18,single_filter,relative_strength,,ret_5d,,top_40pct,,0.009002127782354695,,base_compression_state AND ret_5d_bullish_score >= train_threshold(top_40pct),ret_5d,,pass
ret_5d__top_30pct,19,single_filter,relative_strength,,ret_5d,,top_30pct,,0.016778523489932917,,base_compression_state AND ret_5d_bullish_score >= train_threshold(top_30pct),ret_5d,,pass
ret_5d__top_20pct,20,single_filter,relative_strength,,ret_5d,,top_20pct,,0.026226715392883772,,base_compression_state AND ret_5d_bullish_score >= train_threshold(top_20pct),ret_5d,,pass
close_position_20d__top_50pct,21,single_filter,range_position,,close_position_20d,,top_50pct,,0.4878048780487813,,base_compression_state AND close_position_20d_bullish_score >= train_threshold(top_50pct),close_position_20d,,pass
close_position_20d__top_40pct,22,single_filter,range_position,,close_position_20d,,top_40pct,,0.5909090909090889,,base_compression_state AND close_position_20d_bullish_score >= train_threshold(top_40pct),close_position_20d,,pass
close_position_20d__top_30pct,23,single_filter,range_position,,close_position_20d,,top_30pct,,0.6904761904761898,,base_compression_state AND close_position_20d_bullish_score >= train_threshold(top_30pct),close_position_20d,,pass
close_position_20d__top_20pct,24,single_filter,range_position,,close_position_20d,,top_20pct,,0.7826873893370079,,base_compression_state AND close_position_20d_bullish_score >= train_threshold(top_20pct),close_position_20d,,pass
distance_to_20d_high__top_50pct,25,single_filter,range_position,,distance_to_20d_high,,top_50pct,,-0.040712468193384144,,base_compression_state AND distance_to_20d_high_bullish_score >= train_threshold(top_50pct),-distance_to_20d_high,,pass
distance_to_20d_high__top_40pct,26,single_filter,range_position,,distance_to_20d_high,,top_40pct,,-0.032558139534883956,,base_compression_state AND distance_to_20d_high_bullish_score >= train_threshold(top_40pct),-distance_to_20d_high,,pass
distance_to_20d_high__top_30pct,27,single_filter,range_position,,distance_to_20d_high,,top_30pct,,-0.02516872955421059,,base_compression_state AND distance_to_20d_high_bullish_score >= train_threshold(top_30pct),-distance_to_20d_high,,pass
distance_to_20d_high__top_20pct,28,single_filter,range_position,,distance_to_20d_high,,top_20pct,,-0.018038861993500886,,base_compression_state AND distance_to_20d_high_bullish_score >= train_threshold(top_20pct),-distance_to_20d_high,,pass
distance_from_20d_low__top_50pct,29,single_filter,range_position,,distance_from_20d_low,,top_50pct,,0.03969128996692395,,base_compression_state AND distance_from_20d_low_bullish_score >= train_threshold(top_50pct),distance_from_20d_low,,pass
distance_from_20d_low__top_40pct,30,single_filter,range_position,,distance_from_20d_low,,top_40pct,,0.04909560723514206,,base_compression_state AND distance_from_20d_low_bullish_score >= train_threshold(top_40pct),distance_from_20d_low,,pass
distance_from_20d_low__top_30pct,31,single_filter,range_position,,distance_from_20d_low,,top_30pct,,0.06017878296186429,,base_compression_state AND distance_from_20d_low_bullish_score >= train_threshold(top_30pct),distance_from_20d_low,,pass
distance_from_20d_low__top_20pct,32,single_filter,range_position,,distance_from_20d_low,,top_20pct,,0.07524464096895121,,base_compression_state AND distance_from_20d_low_bullish_score >= train_threshold(top_20pct),distance_from_20d_low,,pass
higher_low_slope_10d__top_50pct,33,single_filter,range_position,,higher_low_slope_10d,,top_50pct,,0.000412159874939957,,base_compression_state AND higher_low_slope_10d_bullish_score >= train_threshold(top_50pct),higher_low_slope_10d,,pass
