filter_id,filter_family_id,filter_formula,split_bucket,treated_n,treated_positive_n,treated_winner_rate,control_n,control_positive_n,control_winner_rate,compression_baseline_winner_rate,native_baseline_winner_rate,winner_rate_diff_vs_compression_control,winner_rate_diff_ci_low,winner_rate_diff_ci_high,auc_one_vs_compression_control,rank_ic_within_base_compression,top_decile_lift_within_base_compression,control_match_quality,readout_status,bootstrap_seed,bootstrap_resample_n,bootstrap_valid_replicates,bootstrap_ci_low_quantile,bootstrap_unit,ci_status
stock_vs_board_20d__top_50pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_50pct),train,21680,4578,0.21116236162361623,21679,5400,0.24908898011900918,0.2301252335155331,0.14517929462992518,-0.037926618495392944,-0.05482810800610577,-0.022345403945653344,0.47024114806266004,-0.043390930107048586,-0.016333720600403945,insufficient_control,fail,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_50pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_50pct),validation,13595,2294,0.16873850680397204,7575,877,0.11577557755775578,0.1497874350495985,0.09591074428694929,0.05296292924621626,0.0358994550681354,0.06852196021835445,0.5514556075148294,0.06360991058917802,0.0065658951346244665,insufficient_control,pass,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_50pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_50pct),robustness,25823,5191,0.20102234442163963,20947,3979,0.18995560223421015,0.19606585418002995,0.1363712925107569,0.011066742187429479,-0.0018187989277943396,0.02399014694752871,0.5075211591336226,0.010343954967099873,-0.03143040410519565,insufficient_control,pass,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_40pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_40pct),train,17344,3610,0.20814114391143912,26015,6368,0.2447818566211801,0.2301252335155331,0.14517929462992518,-0.03664071270974098,-0.05408521930044481,-0.021331438308459547,0.47024114806266004,-0.043390930107048586,-0.016333720600403945,insufficient_control,fail,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_40pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_40pct),validation,11754,1994,0.1696443763825081,9416,1177,0.125,0.1497874350495985,0.09591074428694929,0.044644376382508094,0.026517188843229813,0.061120940873702054,0.5514556075148294,0.06360991058917802,0.0065658951346244665,insufficient_control,pass,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_40pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_40pct),robustness,21824,4363,0.1999175219941349,24946,4807,0.19269622384350196,0.19606585418002995,0.1363712925107569,0.007221298150632938,-0.006504737067444167,0.020129068895091744,0.5075211591336226,0.010343954967099873,-0.03143040410519565,insufficient_control,pass,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_30pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_30pct),train,13008,2689,0.20671894218942188,30351,7289,0.24015683173536292,0.2301252335155331,0.14517929462992518,-0.03343788954594104,-0.05005750383314793,-0.017088462897132346,0.47024114806266004,-0.043390930107048586,-0.016333720600403945,insufficient_control,fail,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_30pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_30pct),validation,9597,1625,0.16932374700427216,11573,1546,0.1335867968547481,0.1497874350495985,0.09591074428694929,0.03573695014952405,0.01770494536573833,0.05362716288173461,0.5514556075148294,0.06360991058917802,0.0065658951346244665,insufficient_control,pass,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_30pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_30pct),robustness,17297,3396,0.1963346245013586,29456,5773,0.1959872351982618,0.19606585418002995,0.1363712925107569,0.00034738930309680116,-0.014518486138476134,0.014443826556334896,0.5073753213567233,0.010343954967099873,-0.03143040410519565,insufficient_control,pass,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_20pct,relative_strength,base_compression_state AND stock_vs_board_20d_bullish_score >= train_threshold(top_20pct),train,8672,1812,0.20894833948339483,34687,8166,0.23541960965203101,0.2301252335155331,0.14517929462992518,-0.02647127016863618,-0.04449339348556582,-0.0079972425350826,0.47024114806266004,-0.043390930107048586,-0.016333720600403945,insufficient_control,fail,13202,500,500,0.05,instrument_month_block,pass
