filter_id,split_bucket,treated_n,control_n,coarsening_level,effective_control_ratio,matched_block_n,unmatched_treated_n,max_standardized_diff_after_match,control_match_quality,match_status,excluded_match_decile_ids,included_match_decile_ids,compression_severity_decile_used,liquidity_decile_used
stock_vs_board_20d__top_50pct,train,21680,21679,level_3,0.9999538745387454,24,0,0.9221085576670316,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_50pct,validation,13595,7575,level_3,0.5571901434350864,16,0,1.677241952737156,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_50pct,robustness,25823,20947,level_3,0.8111760833365604,16,0,1.36820181136609,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_40pct,train,17344,26015,level_3,1.4999423431734318,24,0,0.9663919890415702,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_40pct,validation,11754,9416,level_3,0.8010889909817934,16,0,1.673548347271117,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_40pct,robustness,21824,24946,level_3,1.1430535190615836,16,0,1.4048064728032656,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_30pct,train,13008,30351,level_3,2.3332564575645756,24,0,1.0778879414690148,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_30pct,validation,9597,11573,level_3,1.205897676357195,16,0,1.6408887106539405,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_30pct,robustness,17297,29456,level_3,1.7029542695265074,15,0,1.445066872045798,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_20pct,train,8672,34687,level_3,3.9998846863468636,24,0,1.2345841968871756,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_20pct,validation,6813,14357,level_3,2.107294877440188,16,0,1.5690088895003862,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
stock_vs_board_20d__top_20pct,robustness,12279,34474,level_3,2.807557618698591,15,0,1.5323459883911457,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_50pct,train,22257,21102,level_3,0.9481062137754415,24,0,2.068240405637254,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_50pct,validation,11122,10048,level_3,0.9034346340586226,16,0,2.1697296921940867,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_50pct,robustness,25766,21004,level_3,0.8151827990374912,16,0,2.0656570802159955,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_40pct,train,17344,26015,level_3,1.4999423431734318,24,0,2.0919072090947366,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_40pct,validation,9006,12164,level_3,1.3506551188096825,16,0,2.05993781057232,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_40pct,robustness,20222,26548,level_3,1.3128276134902581,16,0,2.0236853850742573,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_30pct,train,13009,30350,level_3,2.333000230609578,24,0,2.047094187346861,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_30pct,validation,7012,14158,level_3,2.0191100969766116,16,0,1.964633926184646,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_30pct,robustness,14858,31895,level_3,2.146655000673038,15,0,1.9594521560003264,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_20pct,train,8672,34687,level_3,3.9998846863468636,24,0,1.9694964203984904,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_20pct,validation,4769,16401,level_3,3.4390857622143005,16,0,1.8798142680885912,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
ret_20d__top_20pct,robustness,9537,37216,level_3,3.9022753486421307,15,0,1.9047677338215674,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_50pct,train,21680,21679,level_3,0.9999538745387454,24,0,3.082234992192908,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_50pct,validation,11005,10165,level_3,0.9236710586097229,16,0,3.1591343576520803,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_50pct,robustness,24071,22699,level_3,0.9430019525570188,16,0,3.1290978414752333,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_40pct,train,17344,26015,level_3,1.4999423431734318,24,0,2.945606595639766,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_40pct,validation,8846,12324,level_3,1.3931720551661768,16,0,2.9396897779269,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_40pct,robustness,19291,27479,level_3,1.4244466331449899,16,0,2.9634675387252924,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_30pct,train,13008,30351,level_3,2.3332564575645756,24,0,2.687732408377839,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_30pct,validation,6648,14510,level_3,2.1826113116726833,15,0,2.628378631775683,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_30pct,robustness,14223,32530,level_3,2.2871405470013357,15,0,2.66100135505315,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
close_vs_sma20__top_20pct,train,8672,34687,level_3,3.9998846863468636,24,0,2.406070138225562,insufficient_control,fail,stock_vs_board_20d_directional_decile;ret_20d_directional_decile;close_vs_sma20_directional_decile;stock_vs_board_5d_directional_decile;ret_5d_directional_decile,close_position_20d_directional_decile;max_drawdown_20d_directional_decile;turnover_zscore_20d_directional_decile,volatility_20d_decile,liquidity_metric_decile
