filter_id,split_bucket,treated_lower_first_rate,control_lower_first_rate,lower_first_uplift_vs_compression_control,treated_fast_fail_rate,control_fast_fail_rate,fast_fail_uplift_vs_compression_control,treated_same_bar_conflict_rate,median_upper_barrier_return,median_abs_lower_barrier_return,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,compression_baseline_utility_total_indexed,utility_margin_vs_compression_baseline,utility_margin_vs_compression_baseline_ci_low,cost_buffer_return,cost_buffer_source,badside_status,utility_status,native_baseline_winner_rate,bootstrap_seed,bootstrap_resample_n,bootstrap_valid_replicates,bootstrap_ci_low_quantile,bootstrap_unit,ci_status
stock_vs_board_20d__top_50pct,train,0.44165129151291516,0.41902301766686656,0.022628273846048597,0.13459409594095942,0.13699893906545504,-0.002404843124495626,0.0,0.11223308906103287,0.056116544530516434,-0.01108454022870325,-0.0011084847004911873,-0.0013184328596539201,-0.0016645376993812033,0.0005560529988900161,0.00035111762488529506,0.01,lineage,fail,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_50pct,validation,0.4467083486575947,0.545082508250825,-0.09837415959323037,0.1126884884148584,0.16224422442244224,-0.04955573600758384,0.0,0.1082323032749193,0.05411615163745965,-0.015911179491109054,-0.0035283488864506106,-0.003967056962182308,-0.006934174667082011,0.0034058257806314,0.0030913707359548973,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_50pct,robustness,0.3607249351353445,0.32544039719291545,0.03528453794242903,0.11470394609456686,0.09638611734377238,0.018317828750794476,0.0,0.10916132905572147,0.054580664527860735,-0.007744740384493383,-0.0015311714743348542,-0.0019211272041100653,-0.002672568108024259,0.0011413966336894048,0.0008865095341530308,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_40pct,train,0.4466674354243542,0.41945031712473574,0.02721711829961848,0.13687730627306274,0.13507591773976552,0.0018013885332972268,0.0,0.11381843166749152,0.05690921583374576,-0.011729194922992616,-0.0009383615632553666,-0.0011331976375238278,-0.0016645376993812033,0.0007261761361258368,0.0005084814846221899,0.01,lineage,fail,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_40pct,validation,0.445635528330781,0.5271877655055225,-0.08155223717474147,0.10898417559979581,0.15717926932880205,-0.04819509372900624,0.0,0.1082951474400605,0.05414757372003025,-0.015758419869834762,-0.003021261310291448,-0.003430435057936519,-0.006934174667082011,0.003912913356790563,0.0035327909541774485,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_40pct,robustness,0.36381964809384165,0.32838932093321577,0.035430327160625885,0.1184017595307918,0.0960875491060691,0.02231421042472269,0.0,0.10993810794761522,0.05496905397380761,-0.008020267759191133,-0.0013400885324435917,-0.0016805311193435696,-0.002672568108024259,0.0013324795755806672,0.0010406082283824592,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_30pct,train,0.4523370233702337,0.42090870152548515,0.03142832184474853,0.14099015990159902,0.13357055780699154,0.007419602094607486,0.0,0.1158774995826248,0.0579387497913124,-0.012253767481119627,-0.0007352463970146966,-0.0008875266119247294,-0.0016645376993812033,0.0009292913023665068,0.0006898002343674737,0.01,lineage,fail,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_30pct,validation,0.4468062936334271,0.5110170223796768,-0.06421072874624972,0.10534542044388871,0.15121403266223105,-0.04586861221834233,0.0,0.10903788916573708,0.05451894458286854,-0.01589670360289857,-0.0024884705576364457,-0.002863782170916772,-0.006934174667082011,0.004445704109445565,0.003997639592750218,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_30pct,robustness,0.3688500896109152,0.3305268875611081,0.038323202049807104,0.12163959068046482,0.0971958174904943,0.024443773189970514,0.0,0.11107817633069961,0.055539088165349804,-0.008677105606514189,-0.0011490950103042242,-0.0014262708504806153,-0.002672568108024259,0.0015234730977200348,0.0011868831996526346,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_20pct,train,0.4568726937269373,0.42370340473376195,0.03316928899317534,0.14725553505535055,0.13293164586156198,0.014323889193788575,0.0,0.11885347995149718,0.05942673997574859,-0.012316217494442233,-0.0004926623343441379,-0.0006170188825791915,-0.0016645376993812033,0.0011718753650370654,0.0009168165866321312,0.01,lineage,fail,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
stock_vs_board_20d__top_20pct,validation,0.44914134742404227,0.4974576861461308,-0.048316338722088514,0.10377220020548951,0.1430661001602006,-0.039293899954711095,0.0,0.11166766671327191,0.055833833356635956,-0.01729371960772142,-0.0019218378274488402,-0.002232630381420705,-0.006934174667082011,0.00501233683963317,0.004507473467574375,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
