split_bucket,native_denominator_n,base_compression_n,base_coverage_share,base_positive_n,base_winner_rate,base_lower_first_rate,base_fast_fail_rate,base_utility_proxy_per_entry,base_utility_proxy_total_indexed,base_board_mix_main_board_share,base_board_mix_chinext_share,threshold_value,threshold_source_token_id,threshold_reproduction_status,cost_buffer_return,cost_buffer_source
all,408715,111299,0.27231444894364043,22319,0.20053190055615955,0.4042534074879379,0.12246291521037925,-0.0101752159908712,-0.0027708583354366092,0.9370075202832011,0.06299247971679889,0.0160231498003639,volatility_20d__bottom_20pct,pass,0.01,upstream_13a_badside_cost_buffer_return
train,216794,43359,0.2000009225347565,9978,0.2301252335155331,0.43033741553080096,0.13579648977144307,-0.008322650107236066,-0.0016645376993812033,0.9589473926981711,0.041052607301828914,0.0160231498003639,volatility_20d__bottom_20pct,pass,0.01,upstream_13a_badside_cost_buffer_return
validation,61307,21170,0.3453113021351559,3171,0.1497874350495985,0.4819083608880491,0.13042040623523854,-0.020080937473537876,-0.006934174667082011,0.8982522437411431,0.10174775625885688,0.0160231498003639,volatility_20d__bottom_20pct,pass,0.01,upstream_13a_badside_cost_buffer_return
robustness,130614,46770,0.35807800082686386,9170,0.19606585418002995,0.34492195852041907,0.10649989309386358,-0.00746364786960617,-0.002672568108024259,0.9342099636519137,0.06579003634808638,0.0160231498003639,volatility_20d__bottom_20pct,pass,0.01,upstream_13a_badside_cost_buffer_return
