input_table,row_count,unique_meta_event_id_n,duplicate_meta_event_id_n,primary_universe_row_count,joined_row_count,missing_in_universe_n,missing_in_targets_n,missing_in_feature_matrix_n,event_split_mismatch_n,allowed_feature_dictionary_n,allowed_feature_matrix_column_n,missing_allowed_feature_column_n,unexpected_label_or_target_feature_column_n,event_feature_join_gate_pass,feature_dictionary_parity_gate_pass,join_status
universe,45903,45903,0,15113,15113,0,0,0,0,87,87,0,0,True,True,pass
targets,45903,45903,0,15113,15113,0,0,0,0,87,87,0,0,True,True,pass
feature_matrix,15113,15113,0,15113,15113,0,0,0,0,87,87,0,0,True,True,pass
