pool_id,rejector_id,label_policy,fit_split,train_event_n,train_clean_winner_n,train_bad_side_n,train_neutral_excluded_n,cv_n_splits,cv_fold_min_clean_winner_n,cv_fold_min_bad_side_n,train_class_sufficiency_gate_pass,training_status
density_only_top20,logistic_regression_l2,bad_side_vs_clean_winner,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,logistic_regression_l2,bad_side_vs_all_non_bad,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,logistic_regression_l1,bad_side_vs_clean_winner,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,logistic_regression_l1,bad_side_vs_all_non_bad,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,shallow_decision_tree_max_depth_3,bad_side_vs_clean_winner,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,shallow_decision_tree_max_depth_3,bad_side_vs_all_non_bad,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,scorecard_quantile_binning,bad_side_vs_clean_winner,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,scorecard_quantile_binning,bad_side_vs_all_non_bad,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,lightgbm_rejector_depth_3,bad_side_vs_clean_winner,train,1818,41,751,1026,3,13,250,True,ok
density_only_top20,lightgbm_rejector_depth_3,bad_side_vs_all_non_bad,train,1818,41,751,1026,3,13,250,True,ok
freshness_only_top20,logistic_regression_l2,bad_side_vs_clean_winner,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,logistic_regression_l2,bad_side_vs_all_non_bad,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,logistic_regression_l1,bad_side_vs_clean_winner,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,logistic_regression_l1,bad_side_vs_all_non_bad,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,shallow_decision_tree_max_depth_3,bad_side_vs_clean_winner,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,shallow_decision_tree_max_depth_3,bad_side_vs_all_non_bad,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,scorecard_quantile_binning,bad_side_vs_clean_winner,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,scorecard_quantile_binning,bad_side_vs_all_non_bad,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,lightgbm_rejector_depth_3,bad_side_vs_clean_winner,train,1728,40,773,915,3,13,257,True,ok
freshness_only_top20,lightgbm_rejector_depth_3,bad_side_vs_all_non_bad,train,1728,40,773,915,3,13,257,True,ok
r_core_interaction_top20,logistic_regression_l2,bad_side_vs_clean_winner,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,logistic_regression_l2,bad_side_vs_all_non_bad,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,logistic_regression_l1,bad_side_vs_clean_winner,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,logistic_regression_l1,bad_side_vs_all_non_bad,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,shallow_decision_tree_max_depth_3,bad_side_vs_clean_winner,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,shallow_decision_tree_max_depth_3,bad_side_vs_all_non_bad,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,scorecard_quantile_binning,bad_side_vs_clean_winner,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,scorecard_quantile_binning,bad_side_vs_all_non_bad,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,lightgbm_rejector_depth_3,bad_side_vs_clean_winner,train,1683,33,842,808,3,11,280,True,ok
r_core_interaction_top20,lightgbm_rejector_depth_3,bad_side_vs_all_non_bad,train,1683,33,842,808,3,11,280,True,ok
shallow_tree_top20,logistic_regression_l2,bad_side_vs_clean_winner,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,logistic_regression_l2,bad_side_vs_all_non_bad,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,logistic_regression_l1,bad_side_vs_clean_winner,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,logistic_regression_l1,bad_side_vs_all_non_bad,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,shallow_decision_tree_max_depth_3,bad_side_vs_clean_winner,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,shallow_decision_tree_max_depth_3,bad_side_vs_all_non_bad,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,scorecard_quantile_binning,bad_side_vs_clean_winner,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,scorecard_quantile_binning,bad_side_vs_all_non_bad,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,lightgbm_rejector_depth_3,bad_side_vs_clean_winner,train,1700,69,835,796,3,23,278,True,ok
shallow_tree_top20,lightgbm_rejector_depth_3,bad_side_vs_all_non_bad,train,1700,69,835,796,3,23,278,True,ok
lightgbm_top20,logistic_regression_l2,bad_side_vs_clean_winner,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,logistic_regression_l2,bad_side_vs_all_non_bad,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,logistic_regression_l1,bad_side_vs_clean_winner,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,logistic_regression_l1,bad_side_vs_all_non_bad,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,shallow_decision_tree_max_depth_3,bad_side_vs_clean_winner,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,shallow_decision_tree_max_depth_3,bad_side_vs_all_non_bad,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,scorecard_quantile_binning,bad_side_vs_clean_winner,train,1667,105,751,811,3,35,250,True,ok
lightgbm_top20,scorecard_quantile_binning,bad_side_vs_all_non_bad,train,1667,105,751,811,3,35,250,True,ok
