pool_id,split,event_n,label_10d_complete_n,label_20d_complete_n,label_120d_complete_n,label_10d_complete_rate,label_20d_complete_rate,label_120d_complete_rate,label_completeness_gate_pass
density_only_top20,all,3550,3550,3550,3550,1.0,1.0,1.0,True
density_only_top20,train,1818,1818,1818,1818,1.0,1.0,1.0,True
density_only_top20,validation,593,593,593,593,1.0,1.0,1.0,True
density_only_top20,robustness,1139,1139,1139,1139,1.0,1.0,1.0,True
freshness_only_top20,all,3055,3055,3055,3055,1.0,1.0,1.0,True
freshness_only_top20,train,1728,1728,1728,1728,1.0,1.0,1.0,True
freshness_only_top20,validation,315,315,315,315,1.0,1.0,1.0,True
freshness_only_top20,robustness,1012,1012,1012,1012,1.0,1.0,1.0,True
r_core_interaction_top20,all,2986,2986,2986,2986,1.0,1.0,1.0,True
r_core_interaction_top20,train,1683,1683,1683,1683,1.0,1.0,1.0,True
r_core_interaction_top20,validation,314,314,314,314,1.0,1.0,1.0,True
r_core_interaction_top20,robustness,989,989,989,989,1.0,1.0,1.0,True
shallow_tree_top20,all,3670,3670,3670,3670,1.0,1.0,1.0,True
shallow_tree_top20,train,1700,1700,1700,1700,1.0,1.0,1.0,True
shallow_tree_top20,validation,435,435,435,435,1.0,1.0,1.0,True
shallow_tree_top20,robustness,1535,1535,1535,1535,1.0,1.0,1.0,True
lightgbm_top20,all,3853,3853,3853,3853,1.0,1.0,1.0,True
lightgbm_top20,train,1667,1667,1667,1667,1.0,1.0,1.0,True
lightgbm_top20,validation,563,563,563,563,1.0,1.0,1.0,True
lightgbm_top20,robustness,1623,1623,1623,1623,1.0,1.0,1.0,True
