pool_id,split,separability_positive_class,method,fit_split,eval_split,clean_winner_n,positive_event_n,bad_side_n,auc,auc_ci_low,auc_ci_high,auc_ci_method,average_precision,top_decile_clean_winner_rate,bottom_decile_clean_winner_rate,separability_status
density_only_top20,robustness,clean_winner_event,logistic_l2,train,robustness,49,49,355,0.3400402414486921,0.2631271353548871,0.4182301722830108,bootstrap_1000,0.08689415685820298,0.0,0.21951219512195122,ok
density_only_top20,robustness,clean_winner_event,shallow_tree_depth_2,train,robustness,49,49,355,0.5682379994251221,0.4947574249398231,0.6371525162591745,bootstrap_1000,0.13860437039050877,0.1951219512195122,0.04878048780487805,ok
density_only_top20,robustness,clean_winner_event,scorecard_quantile,train,robustness,49,49,355,0.2778959471112389,0.20634153292603305,0.35569849436009165,bootstrap_1000,0.07989148390452812,0.0,0.2926829268292683,ok
density_only_top20,robustness,clean_capture_event,logistic_l2,train,robustness,86,86,355,0.3215198165738617,0.2623781832178297,0.3831111208999872,bootstrap_1000,0.13751959602722022,0.022222222222222223,0.37777777777777777,ok
density_only_top20,robustness,clean_capture_event,shallow_tree_depth_2,train,robustness,86,86,355,0.5359973796265968,0.4902212361862016,0.5789214510480262,bootstrap_1000,0.21110204375555747,0.17777777777777778,0.1111111111111111,ok
density_only_top20,robustness,clean_capture_event,scorecard_quantile,train,robustness,86,86,355,0.27264985260399605,0.21525766462738577,0.3319458236037025,bootstrap_1000,0.12933159727065136,0.0,0.4,ok
freshness_only_top20,robustness,clean_winner_event,logistic_l2,train,robustness,46,46,286,0.31088476740650656,0.22203115876604107,0.39322181627520286,bootstrap_1000,0.0974608342781913,0.029411764705882353,0.35294117647058826,ok
freshness_only_top20,robustness,clean_winner_event,shallow_tree_depth_2,train,robustness,46,46,286,0.4851398601398602,0.4026470036763112,0.5678838779167179,bootstrap_1000,0.1334847937545991,0.20588235294117646,0.20588235294117646,ok
freshness_only_top20,robustness,clean_winner_event,scorecard_quantile,train,robustness,46,46,286,0.3180297962906658,0.23685231749224708,0.3982326751838947,bootstrap_1000,0.10067468008217346,0.08823529411764706,0.23529411764705882,ok
freshness_only_top20,robustness,clean_capture_event,logistic_l2,train,robustness,80,80,286,0.2698863636363636,0.20731948896011393,0.3334684213816913,bootstrap_1000,0.1466017547829574,0.02702702702702703,0.4864864864864865,ok
freshness_only_top20,robustness,clean_capture_event,shallow_tree_depth_2,train,robustness,80,80,286,0.35367132867132867,0.3148852267153327,0.39534871752553224,bootstrap_1000,0.20655472438856173,0.05405405405405406,0.2702702702702703,ok
freshness_only_top20,robustness,clean_capture_event,scorecard_quantile,train,robustness,80,80,286,0.30834790209790214,0.24943917888149864,0.37010365914042387,bootstrap_1000,0.1529420182756248,0.08108108108108109,0.43243243243243246,ok
r_core_interaction_top20,robustness,clean_winner_event,logistic_l2,train,robustness,43,43,303,0.4140762913500652,0.327059842237143,0.501815429104801,bootstrap_1000,0.10353939918819711,0.05714285714285714,0.2,ok
r_core_interaction_top20,robustness,clean_winner_event,shallow_tree_depth_2,train,robustness,43,43,303,0.46319748253895143,0.3922485160347626,0.5288745582380617,bootstrap_1000,0.12073351229172527,0.05714285714285714,0.11428571428571428,ok
r_core_interaction_top20,robustness,clean_winner_event,scorecard_quantile,train,robustness,43,43,303,0.3136081049965462,0.2312391435207935,0.4057485897704369,bootstrap_1000,0.09454546987355153,0.11428571428571428,0.22857142857142856,ok
r_core_interaction_top20,robustness,clean_capture_event,logistic_l2,train,robustness,72,72,303,0.3118353502016868,0.24475268329554042,0.3787153687873574,bootstrap_1000,0.13717048185517963,0.07894736842105263,0.47368421052631576,ok
r_core_interaction_top20,robustness,clean_capture_event,shallow_tree_depth_2,train,robustness,72,72,303,0.3596672167216721,0.31025351491162734,0.4133895335877677,bootstrap_1000,0.17187266442316487,0.02631578947368421,0.13157894736842105,ok
r_core_interaction_top20,robustness,clean_capture_event,scorecard_quantile,train,robustness,72,72,303,0.26214704803813715,0.19818550785823003,0.3289848655819654,bootstrap_1000,0.1309266589544173,0.13157894736842105,0.47368421052631576,ok
shallow_tree_top20,robustness,clean_winner_event,logistic_l2,train,robustness,62,62,623,0.5156630249055041,0.43617571505335734,0.5932840971017795,bootstrap_1000,0.10302774213964133,0.13043478260869565,0.07246376811594203,ok
shallow_tree_top20,robustness,clean_winner_event,shallow_tree_depth_2,train,robustness,62,62,623,0.44428623207166157,0.3673993566714155,0.5126292808278102,bootstrap_1000,0.08350877512508323,0.10144927536231885,0.11594202898550725,ok
shallow_tree_top20,robustness,clean_winner_event,scorecard_quantile,train,robustness,62,62,623,0.3689224874436908,0.28857864181743115,0.4471088231664381,bootstrap_1000,0.07839136542143324,0.07246376811594203,0.2028985507246377,ok
shallow_tree_top20,robustness,clean_capture_event,logistic_l2,train,robustness,116,116,623,0.31366579952399404,0.2600272203948725,0.3688700795286763,bootstrap_1000,0.11078426874799074,0.06756756756756757,0.3918918918918919,ok
shallow_tree_top20,robustness,clean_capture_event,shallow_tree_depth_2,train,robustness,116,116,623,0.3475051198317375,0.29893211885571574,0.39621744257499325,bootstrap_1000,0.1245597682616111,0.08108108108108109,0.20270270270270271,ok
shallow_tree_top20,robustness,clean_capture_event,scorecard_quantile,train,robustness,116,116,623,0.30422870426744897,0.24760939610152438,0.3600862486446121,bootstrap_1000,0.10856476912333055,0.06756756756756757,0.36486486486486486,ok
lightgbm_top20,robustness,clean_winner_event,logistic_l2,train,robustness,72,72,606,0.530459295929593,0.46512802044494195,0.6018543731305969,bootstrap_1000,0.12017643426493123,0.1323529411764706,0.058823529411764705,ok
lightgbm_top20,robustness,clean_winner_event,shallow_tree_depth_2,train,robustness,72,72,606,0.3908713788045471,0.33896083949276257,0.4511192646443727,bootstrap_1000,0.08841730737981306,0.10294117647058823,0.22058823529411764,ok
lightgbm_top20,robustness,clean_winner_event,scorecard_quantile,train,robustness,72,72,606,0.42876787678767875,0.36331766142154054,0.5016327000796331,bootstrap_1000,0.09316272215784754,0.10294117647058823,0.16176470588235295,ok
lightgbm_top20,robustness,clean_capture_event,logistic_l2,train,robustness,135,135,606,0.4056839017235057,0.35418952294357947,0.45847737995662413,bootstrap_1000,0.1510835088035895,0.09333333333333334,0.21333333333333335,ok
lightgbm_top20,robustness,clean_capture_event,shallow_tree_depth_2,train,robustness,135,135,606,0.3184940716293852,0.27109236349811106,0.3672426165439794,bootstrap_1000,0.1411262974971208,0.08,0.30666666666666664,ok
lightgbm_top20,robustness,clean_capture_event,scorecard_quantile,train,robustness,135,135,606,0.3495905146070162,0.2996228709749898,0.4013031272640194,bootstrap_1000,0.13571273647158522,0.10666666666666667,0.3333333333333333,ok
