pool_id,split,event_n,label_20d_complete_n,inside_window_n,precision,bad_side_n,bad_side_rate,fast_fail_n,false_repair_n,both_n,fast_fail_only_n,false_repair_only_n,fast_fail_only_share_of_bad,false_repair_only_share_of_bad,overlap_share_of_bad,dominant_component,composition_status
density_only_top20,all,3550,3550,285,0.08028169014084507,1327,0.37380281690140843,1003,1208,884,119,324,0.08967596081386586,0.24415975885455915,0.6661642803315749,overlap_dominant,ok
density_only_top20,train,1818,1818,149,0.08195819581958196,751,0.4130913091309131,583,686,518,65,168,0.08655126498002663,0.2237017310252996,0.6897470039946738,overlap_dominant,ok
density_only_top20,validation,593,593,10,0.016863406408094434,221,0.37268128161888703,153,209,141,12,68,0.05429864253393665,0.3076923076923077,0.6380090497737556,overlap_dominant,ok
density_only_top20,robustness,1139,1139,126,0.1106233538191396,355,0.31167690956979804,267,313,225,42,88,0.11830985915492957,0.24788732394366197,0.6338028169014085,overlap_dominant,ok
freshness_only_top20,all,3055,3055,277,0.090671031096563,1151,0.376759410801964,801,1036,686,115,350,0.0999131190269331,0.3040834057341442,0.5960034752389227,overlap_dominant,ok
freshness_only_top20,train,1728,1728,164,0.09490740740740741,773,0.44733796296296297,543,702,472,71,230,0.09184993531694696,0.2975420439844761,0.610608020698577,overlap_dominant,ok
freshness_only_top20,validation,315,315,9,0.02857142857142857,92,0.2920634920634921,55,85,48,7,37,0.07608695652173914,0.40217391304347827,0.5217391304347826,overlap_dominant,ok
freshness_only_top20,robustness,1012,1012,104,0.10276679841897234,286,0.2826086956521739,203,249,166,37,83,0.12937062937062938,0.2902097902097902,0.5804195804195804,overlap_dominant,ok
r_core_interaction_top20,all,2986,2986,274,0.09176155391828533,1245,0.4169457468184863,911,1121,787,124,334,0.09959839357429719,0.26827309236947794,0.6321285140562249,overlap_dominant,ok
r_core_interaction_top20,train,1683,1683,165,0.09803921568627451,842,0.5002970885323826,629,764,551,78,213,0.09263657957244656,0.2529691211401425,0.6543942992874109,overlap_dominant,ok
r_core_interaction_top20,validation,314,314,8,0.025477707006369428,100,0.3184713375796178,60,94,54,6,40,0.06,0.4,0.54,overlap_dominant,ok
r_core_interaction_top20,robustness,989,989,101,0.10212335692618807,303,0.3063700707785642,222,263,182,40,81,0.132013201320132,0.26732673267326734,0.6006600660066007,overlap_dominant,ok
shallow_tree_top20,all,3670,3670,495,0.13487738419618528,1629,0.4438692098092643,1179,1451,1001,178,450,0.1092694904849601,0.27624309392265195,0.614487415592388,overlap_dominant,ok
shallow_tree_top20,train,1700,1700,301,0.17705882352941177,835,0.49117647058823527,603,753,521,82,232,0.09820359281437126,0.2778443113772455,0.6239520958083832,overlap_dominant,ok
shallow_tree_top20,validation,435,435,12,0.027586206896551724,171,0.3931034482758621,114,160,103,11,57,0.06432748538011696,0.3333333333333333,0.6023391812865497,overlap_dominant,ok
shallow_tree_top20,robustness,1535,1535,182,0.11856677524429968,623,0.4058631921824104,462,538,377,85,161,0.13643659711075443,0.25842696629213485,0.6051364365971108,overlap_dominant,ok
lightgbm_top20,all,3853,3853,616,0.15987542174928626,1579,0.4098105372437062,1155,1422,998,157,424,0.09943001899936668,0.26852438252058264,0.6320455984800507,overlap_dominant,ok
lightgbm_top20,train,1667,1667,411,0.2465506898620276,751,0.4505098980203959,557,676,482,75,194,0.09986684420772303,0.2583222370173103,0.6418109187749668,overlap_dominant,ok
lightgbm_top20,validation,563,563,13,0.023090586145648313,222,0.39431616341030196,152,206,136,16,70,0.07207207207207207,0.3153153153153153,0.6126126126126126,overlap_dominant,ok
lightgbm_top20,robustness,1623,1623,192,0.11829944547134935,606,0.3733826247689464,446,540,380,66,160,0.10891089108910891,0.264026402640264,0.6270627062706271,overlap_dominant,ok
