artifact_id,path,resolved_path,exists,row_count,sha256,read_status,schema_status,column_count
requirement,requirement_12a5a_badside_decoupling_feasibility_probe.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a5a_badside_decoupling_feasibility_probe.md,True,,f79ee764b145c48017c5ac1f6d06fa6a86268cf4d22574b2a3726189640a584b,pass,not_applicable,0
config_12a4,configs/config_12a4_state_change_meta_label_filter_feasibility.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/configs/config_12a4_state_change_meta_label_filter_feasibility.yaml,True,,9f23a00c2eaf7257ba7355c2980f87f9b77dc727c56e39ca154707c00a7eb149,pass,not_applicable,0
manifest_12a4,outputs/manifests/12A4_state_change_meta_label_filter_feasibility_manifest.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A4_state_change_meta_label_filter_feasibility_manifest.json,True,,84c91c98af91c22929a0ba7fb88a8814700a49923b45af36452bd9ab52a446c2,pass,not_applicable,0
meta_label_decision,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_decision.csv,True,1.0,925fbd800d290e6da42a6ec7967553fd3c46703a79ac7c291beeb8b8fc7fe36d,pass,pass,22
meta_label_event_universe,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_universe.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_universe.csv.gz,True,45903.0,423e638041b2c2aa0b9973c3da5402f61d997660e7f7e229ee279b468d2e408f,pass,pass,35
meta_label_event_targets,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_targets.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_event_targets.csv.gz,True,45903.0,049d8122637352ce73573d20e500d89b42850c07acde999ae6d207759b05c92c,pass,pass,16
meta_label_score_bucket_frontier,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_score_bucket_frontier.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_score_bucket_frontier.csv,True,32.0,3198fc7d3d05777df09389088eb702879380da591073717ee0575f8377cf06f7,pass,pass,22
non_model_filter_frontier,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/non_model_filter_frontier.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/non_model_filter_frontier.csv,True,56.0,217794d0c09431131b46517b715cb7cd59537f9a19f8cdb6c07a666240762d02,pass,pass,13
meta_label_model_card,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_model_card.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/meta_label_model_card.csv,True,4.0,3781b862b1ca430bb192b005d78815d8777fc96107609174953af106405effb0,pass,pass,9
lightgbm_challenger_score_bucket_frontier,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/lightgbm_challenger_score_bucket_frontier.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/lightgbm_challenger_score_bucket_frontier.csv,True,8.0,63708b188902e36fedc300396052c46261c1aadc6ea246a0a68e1835f506e5f5,pass,pass,23
lightgbm_challenger_model_card,outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/lightgbm_challenger_model_card.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A4_state_change_meta_label_filter_feasibility/lightgbm_challenger_model_card.csv,True,1.0,b0de4a36076d484aa87e396420f1cc9325a1457ed110e5fc1284e782cf278edb,pass,pass,10
