pool_id,rejector_id,rejector_family,label_policy,allowed_for_decision_gate,reject_score_direction,split,reject_fraction,retained_event_n,retained_inside_n,retained_precision,retained_bad_side_rate,retained_fast_fail_rate,retained_false_repair_rate,retained_episode_recall_low_to_high,retained_winner_120_rate,bad_side_reduction_vs_pool,precision_delta_vs_pool,episode_recall_delta_vs_pool,retained_precision_vs_c0_baseline_ratio,frontier_status
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,all,0.05,3372,279,0.08274021352313167,0.3695136417556346,0.2781731909845789,0.3360023724792408,0.49065420560747663,0.17882562277580072,0.004289175145773816,0.0024585233822865954,-0.004672897196261683,1.2319732482513197,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,all,0.1,3195,271,0.08482003129890454,0.3643192488262911,0.27261345852895147,0.330829420970266,0.47897196261682246,0.1784037558685446,0.009483568075117355,0.00453834115805947,-0.016355140186915862,1.2629410177540343,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,all,0.15,3017,266,0.08816705336426914,0.35896586012595294,0.2674842558833278,0.3244945309910507,0.4742990654205608,0.17998011269472985,0.01483695677545549,0.007885363223424063,-0.021028037383177545,1.3127770221617734,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,all,0.2,2840,251,0.08838028169014084,0.352112676056338,0.26161971830985914,0.3172535211267606,0.45093457943925236,0.1785211267605634,0.021690140845070427,0.008098591549295764,-0.04439252336448596,1.315951918406994,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,all,0.3,2485,227,0.09134808853118712,0.33319919517102614,0.2442655935613682,0.30140845070422534,0.4158878504672897,0.17867203219315894,0.04060362173038229,0.011066398390342042,-0.07943925233644861,1.3601415388885039,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,all,0.4,2130,200,0.09389671361502347,0.3244131455399061,0.23708920187793428,0.2934272300469484,0.37616822429906543,0.17981220657276994,0.04938967136150235,0.013615023474178395,-0.11915887850467288,1.3980896875505915,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,train,0.05,1727,144,0.08338158656629995,0.41169658367110595,0.32020845396641573,0.37521713954834973,0.4888888888888889,0.19397799652576722,0.0013947254598071224,0.0014233907467179896,-0.013333333333333364,1.1500287595680874,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,train,0.1,1636,137,0.08374083129584352,0.40525672371638144,0.3141809290953545,0.3704156479217604,0.47555555555555556,0.19743276283618583,0.007834585414531636,0.0017826354762615626,-0.026666666666666672,1.1549835917763935,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,train,0.15,1545,132,0.0854368932038835,0.4,0.3119741100323625,0.3644012944983819,0.4577777777777778,0.2,0.013091309130913054,0.003478697384301538,-0.04444444444444445,1.178376286165855,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,train,0.2,1454,126,0.08665749656121045,0.39752407152682256,0.3081155433287483,0.3624484181568088,0.4444444444444444,0.19876203576341128,0.015567237604090511,0.004699300741628498,-0.05777777777777782,1.1952112856274593,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,train,0.3,1272,113,0.08883647798742138,0.38443396226415094,0.29638364779874216,0.3490566037735849,0.40444444444444444,0.19654088050314467,0.028657346866762134,0.006878282167839422,-0.0977777777777778,1.225264579284983,ok
density_only_top20,logistic_regression_l2,logistic_regression_l2,bad_side_vs_clean_winner,True,higher_is_worse,train,0.4,1090,104,0.09541284403669725,0.37522935779816513,0.2853211009174312,0.3412844036697248,0.38222222222222224,0.1926605504587156,0.037861951332747945,0.013454648217115298,-0.12,1.3159681794629525,ok
