pool_id,split,pool_status,reconstruction_method,score_feature,score_direction,train_quantile,train_reference_top20_threshold,nominal_top20_event_n,reconstructed_event_n,reconstructed_inside_n,reconstructed_bad_side_n,reconstructed_precision,reconstructed_bad_side_rate,reconstructed_membership_hash,published_event_n,published_inside_n,published_bad_side_n,published_bad_side_n_derived,published_precision,published_bad_side_rate,event_n_match,inside_n_match,bad_side_n_hard_gate_applied,bad_side_n_match,tie_expansion_n,precision_abs_diff,bad_side_rate_abs_diff,refit_feature_hash_match,reconstruction_status,skip_reason
density_only_top20,all,ok,deterministic_score_from_feature_matrix,same_day_c0_event_count_all,lower_is_selected,0.2,13.0,3023,3550,285,1327,0.08028169014084507,0.37380281690140843,051c58b0b8cf9383cf35c627d32c106b666c24f7ae11e4b1df769630a436090d,3550,285,,1327,0.080281690140845,0.3738028169014084,True,True,False,,527,6.938893903907228e-17,5.551115123125783e-17,,ok,
density_only_top20,train,ok,deterministic_score_from_feature_matrix,same_day_c0_event_count_all,lower_is_selected,0.2,13.0,1661,1818,149,751,0.08195819581958196,0.4130913091309131,15415804f2540a2cb2d0f3e5627fe355f18e7157810582ce3508b8318efb8bcf,1818,149,,751,0.0819581958195819,0.4130913091309131,True,True,False,,157,5.551115123125783e-17,0.0,,ok,
density_only_top20,validation,ok,deterministic_score_from_feature_matrix,same_day_c0_event_count_all,lower_is_selected,0.2,13.0,430,593,10,221,0.016863406408094434,0.37268128161888703,145fd7517bac7d19bc00c3d32b96febf0baebb9f04bc894f0a20ab5a6e9e8be3,593,10,,221,0.0168634064080944,0.372681281618887,True,True,False,,163,3.469446951953614e-17,5.551115123125783e-17,,ok,
density_only_top20,robustness,ok,deterministic_score_from_feature_matrix,same_day_c0_event_count_all,lower_is_selected,0.2,13.0,932,1139,126,355,0.1106233538191396,0.31167690956979804,b7f6b4986f6110a42542185afefc74418b296d4bd7a64b67cf98bd4a3ecce5f8,1139,126,,355,0.1106233538191396,0.311676909569798,True,True,False,,207,0.0,5.551115123125783e-17,,ok,
freshness_only_top20,all,ok,deterministic_score_from_feature_matrix,freshness_decay_tau_20,higher_is_selected,0.8,0.4965853037914096,3023,3055,277,1151,0.090671031096563,0.376759410801964,50953190b4fb471d4964a5d871227aeeb4247415fdd9830c246c9a963596fc80,3055,277,,1151,0.090671031096563,0.376759410801964,True,True,False,,32,0.0,0.0,,ok,
freshness_only_top20,train,ok,deterministic_score_from_feature_matrix,freshness_decay_tau_20,higher_is_selected,0.8,0.4965853037914096,1661,1728,164,773,0.09490740740740741,0.44733796296296297,193345d179b6c51d8431bfa6fa91f20f88438e6cd2dfd949bfacc63a2dade02f,1728,164,,773,0.0949074074074074,0.4473379629629629,True,True,False,,67,1.3877787807814457e-17,5.551115123125783e-17,,ok,
freshness_only_top20,validation,ok,deterministic_score_from_feature_matrix,freshness_decay_tau_20,higher_is_selected,0.8,0.4965853037914096,430,315,9,92,0.02857142857142857,0.2920634920634921,0941f55f55000031f50ff14aa18b456f0bfd909c26f7e85406e4cb59be4afe72,315,9,,92,0.0285714285714285,0.2920634920634921,True,True,False,,-115,6.938893903907228e-17,0.0,,ok,
freshness_only_top20,robustness,ok,deterministic_score_from_feature_matrix,freshness_decay_tau_20,higher_is_selected,0.8,0.4965853037914096,932,1012,104,286,0.10276679841897234,0.2826086956521739,45760055d2d6a817fe636a711dc97097a8b8fba135b9b53286aa227a9499ac19,1012,104,,286,0.1027667984189723,0.2826086956521739,True,True,False,,80,4.163336342344337e-17,0.0,,ok,
r_core_interaction_top20,all,ok,deterministic_score_from_feature_matrix,prior_r_core_event_count_20d,higher_is_selected,0.8,3.0,3023,2986,274,1245,0.09176155391828533,0.4169457468184863,d813e92ef5e02eb4615b5384e2a5041b74ace0f58282a927a4f85dab819497bb,2986,274,,1245,0.0917615539182853,0.4169457468184863,True,True,False,,-37,2.7755575615628914e-17,0.0,,ok,
r_core_interaction_top20,train,ok,deterministic_score_from_feature_matrix,prior_r_core_event_count_20d,higher_is_selected,0.8,3.0,1661,1683,165,842,0.09803921568627451,0.5002970885323826,e4f67b28eb5d4d94cef4b4a356b55d43db0ec1d27317a9679f8f7c48068ade33,1683,165,,842,0.0980392156862745,0.5002970885323826,True,True,False,,22,1.3877787807814457e-17,0.0,,ok,
