pool_id,split,separability_positive_class,feature_name,feature_group,clean_winner_n,positive_event_n,bad_side_n,auc,auc_direction,abs_auc_minus_0p5,ks_statistic,coverage_rate,separability_status
density_only_top20,all,clean_winner_event,event_t0_pos,event_native,92,92,1327,0.6445398250384982,higher_clean_winner,0.14453982503849816,0.28151109072441927,1.0,ok
density_only_top20,all,clean_winner_event,triggered_family_count,event_native,92,92,1327,0.4754390419711018,lower_clean_winner,0.024560958028898183,0.04131581534025752,1.0,ok
density_only_top20,all,clean_winner_event,triggered_family_ge2,event_native,92,92,1327,0.47934209232987124,lower_clean_winner,0.02065790767012876,0.04131581534025752,1.0,ok
density_only_top20,all,clean_winner_event,canonical_priority,event_native,92,92,1327,0.46892713213852755,lower_clean_winner,0.031072867861472453,0.112389829953147,1.0,ok
density_only_top20,all,clean_winner_event,raw_instance_count_collapsed,event_native,92,92,1327,0.4557599685462469,lower_clean_winner,0.044240031453753104,0.06451295829101267,1.0,ok
density_only_top20,all,clean_winner_event,primary_family_is_B1,event_native,92,92,1327,0.5258019068837849,higher_clean_winner,0.02580190688378492,0.05160381376756984,1.0,ok
density_only_top20,all,clean_winner_event,has_B1_trigger,event_native,92,92,1327,0.5258019068837849,higher_clean_winner,0.02580190688378492,0.05160381376756984,1.0,ok
density_only_top20,all,clean_winner_event,primary_family_is_B2,event_native,92,92,1327,0.4692056289112414,lower_clean_winner,0.0307943710887586,0.061588742177517086,1.0,ok
density_only_top20,all,clean_winner_event,has_B2_trigger,event_native,92,92,1327,0.4640902984830117,lower_clean_winner,0.0359097015169883,0.0718194030339766,1.0,ok
density_only_top20,all,clean_winner_event,primary_family_is_B3,event_native,92,92,1327,0.5303930080927886,higher_clean_winner,0.030393008092788554,0.06078601618557711,1.0,ok
density_only_top20,all,clean_winner_event,has_B3_trigger,event_native,92,92,1327,0.5224804233150946,higher_clean_winner,0.02248042331509459,0.044960846630189066,1.0,ok
