family_id,parameter_set_id,raw_event_arm_id,cooldown_sessions,parameter_json
F1_residual_cusum_break,lookback60_z2p5,F1_residual_cusum_break__lookback60_z2p5,20,"{""lookback"": 60, ""z"": 2.5}"
F1_residual_cusum_break,lookback60_z3p0,F1_residual_cusum_break__lookback60_z3p0,20,"{""lookback"": 60, ""z"": 3.0}"
F1_residual_cusum_break,lookback120_z2p5,F1_residual_cusum_break__lookback120_z2p5,20,"{""lookback"": 120, ""z"": 2.5}"
F1_residual_cusum_break,lookback120_z3p0,F1_residual_cusum_break__lookback120_z3p0,20,"{""lookback"": 120, ""z"": 3.0}"
F2_compression_to_directional_expansion,ratio1p5,F2_compression_to_directional_expansion__ratio1p5,20,"{""ratio"": 1.5}"
F2_compression_to_directional_expansion,ratio2p0,F2_compression_to_directional_expansion__ratio2p0,20,"{""ratio"": 2.0}"
F3_controlled_damage_first_reclaim,damage20,F3_controlled_damage_first_reclaim__damage20,20,"{""lookback"": 20}"
F3_controlled_damage_first_reclaim,damage60,F3_controlled_damage_first_reclaim__damage60,20,"{""lookback"": 60}"
F4_board_relative_strength_rank_jump,ret20_jump2,F4_board_relative_strength_rank_jump__ret20_jump2,15,"{""jump"": 2, ""window"": 20}"
F4_board_relative_strength_rank_jump,ret20_jump3,F4_board_relative_strength_rank_jump__ret20_jump3,15,"{""jump"": 3, ""window"": 20}"
F4_board_relative_strength_rank_jump,ret60_jump2,F4_board_relative_strength_rank_jump__ret60_jump2,15,"{""jump"": 2, ""window"": 60}"
F4_board_relative_strength_rank_jump,ret60_jump3,F4_board_relative_strength_rank_jump__ret60_jump3,15,"{""jump"": 3, ""window"": 60}"
F5_participation_ignition_with_price_control,window20_ratio1p5,F5_participation_ignition_with_price_control__window20_ratio1p5,15,"{""ratio"": 1.5, ""window"": 20}"
F5_participation_ignition_with_price_control,window60_ratio2p0,F5_participation_ignition_with_price_control__window60_ratio2p0,15,"{""ratio"": 2.0, ""window"": 60}"
F6_low_volatility_range_expansion_first_trigger,ratio1p5,F6_low_volatility_range_expansion_first_trigger__ratio1p5,20,"{""ratio"": 1.5}"
F6_low_volatility_range_expansion_first_trigger,ratio2p0,F6_low_volatility_range_expansion_first_trigger__ratio2p0,20,"{""ratio"": 2.0}"
