split_bucket,selected_label_id,denominator_n,horizon_complete_n,horizon_complete_rate,winner_positive_n,winner_base_rate,fast_fail_rate,label_portability_status
train,vol20d_kup2p0_kdn1p0_H20,216794,216794,1.0,31474,0.14517929462992518,0.3446036329418711,pass
validation,vol20d_kup2p0_kdn1p0_H20,61307,61307,1.0,5880,0.09591074428694929,0.3992855628231686,pass
robustness,vol20d_kup2p0_kdn1p0_H20,130614,130614,1.0,17812,0.1363712925107569,0.26961887699634035,pass
