raw_event_arm_id,cohort_arm_id,split_bucket,event_n,cohort_rank_pass_n,missing_intensity_n,insufficient_cohort_n,degenerate_partial_cohort_n,cohort_availability_gate_status
F4_board_relative_strength_rank_jump__ret60_jump3,C1,robustness,534,534,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C1,train,1061,1061,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C1,validation,553,553,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C2,robustness,534,532,0,2,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C2,train,1061,1061,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C2,validation,553,553,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C3,robustness,534,534,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C3,train,1061,1004,0,57,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C3,validation,553,553,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C4,robustness,534,534,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C4,train,1061,984,0,77,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C4,validation,553,553,0,0,0,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C5,robustness,534,302,0,215,17,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C5,train,1061,541,0,486,34,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C5,validation,553,354,0,186,13,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C6,robustness,534,274,0,199,61,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C6,train,1061,503,0,447,111,pass
F4_board_relative_strength_rank_jump__ret60_jump3,C6,validation,553,359,0,162,32,pass
