lineage_id,lineage_status,selected_label_id,upstream_formula_path_window,implemented_path_window,path_window_reconciliation_status,path_window_reconciliation_reason,cache_status,adapter_status,decision_state,rebuild_status
12A7g_selected_label,pass,vol20d_kup2p0_kdn1p0_H20,reference_pos_through_reference_pos_plus_horizon_inclusive,entry_pos_through_entry_pos_plus_horizon_inclusive,pass_with_documented_13a_entry_anchor,14A primary label uses 13A published next-open native implementation,,,,
13A_native_universe_label_cache,pass,,,,,,cache_used,pass,13A_no_native_token_survives_stop_event_mining,
13A_entry_anchor_label_rebuild,pass,,,,,,cache_used,pass,,pass
