family_id,parameter_set_id,raw_event_arm_id,raw_transition_n,accepted_event_n,duplicate_suppressed_n,family_input_status
F1_residual_cusum_break,lookback60_z2p5,F1_residual_cusum_break__lookback60_z2p5,7681,4138,3543,pass
F1_residual_cusum_break,lookback60_z3p0,F1_residual_cusum_break__lookback60_z3p0,7492,4089,3403,pass
F1_residual_cusum_break,lookback120_z2p5,F1_residual_cusum_break__lookback120_z2p5,7472,4087,3385,pass
F1_residual_cusum_break,lookback120_z3p0,F1_residual_cusum_break__lookback120_z3p0,7218,4044,3174,pass
F2_compression_to_directional_expansion,ratio1p5,F2_compression_to_directional_expansion__ratio1p5,9286,2918,6368,pass
F2_compression_to_directional_expansion,ratio2p0,F2_compression_to_directional_expansion__ratio2p0,3978,1888,2090,pass
F3_controlled_damage_first_reclaim,damage20,F3_controlled_damage_first_reclaim__damage20,15940,5424,10516,pass
F3_controlled_damage_first_reclaim,damage60,F3_controlled_damage_first_reclaim__damage60,53217,4462,48755,pass
F4_board_relative_strength_rank_jump,ret20_jump2,F4_board_relative_strength_rank_jump__ret20_jump2,17296,5046,12250,pass
F4_board_relative_strength_rank_jump,ret20_jump3,F4_board_relative_strength_rank_jump__ret20_jump3,7841,3834,4007,pass
F4_board_relative_strength_rank_jump,ret60_jump2,F4_board_relative_strength_rank_jump__ret60_jump2,6292,3430,2862,pass
F4_board_relative_strength_rank_jump,ret60_jump3,F4_board_relative_strength_rank_jump__ret60_jump3,2786,2148,638,pass
F5_participation_ignition_with_price_control,window20_ratio1p5,F5_participation_ignition_with_price_control__window20_ratio1p5,34280,10252,24028,pass
F5_participation_ignition_with_price_control,window60_ratio2p0,F5_participation_ignition_with_price_control__window60_ratio2p0,27179,6393,20786,pass
F6_low_volatility_range_expansion_first_trigger,ratio1p5,F6_low_volatility_range_expansion_first_trigger__ratio1p5,8995,2866,6129,pass
F6_low_volatility_range_expansion_first_trigger,ratio2p0,F6_low_volatility_range_expansion_first_trigger__ratio2p0,3869,1862,2007,pass
