artifact_id,resolved_path,row_count,column_count,sha256,schema_status,read_status,required_flag,lineage_role
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/requirement_14a_full_native_sparse_state_change_event_utility_preflight.md,,,661cdec0f674651ad7d7355c1ffe1e6029352711d12202a7837ece013b233d02,pass,pass,True,run_config_input
source_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/research_plan.md,,,ab21ead947e594aa76fe31d9c58793a1abcf79e266fb37fa32b4b07816fcad20,pass,pass,True,run_config_input
upstream_requirement_13a,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/requirement_13a_full_pit_native_token_cartography_preflight.md,,,e64f9b1cb360e3361ce109e63a794a3ac40d84e9bb09f6e9c371d5377886293f,pass,pass,True,run_config_input
upstream_requirement_12a7g,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/requirement_12a7g_vol_scaled_label_panel_c0_separability_triage.md,,,07786959ad687ff18ba6b2737008666d8fdb2a0dc591ee45741c23be31c452d4,pass,pass,True,upstream_12a7g_label_lineage
pit_topn_400_100_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1140000.0,33.0,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,pass,True,raw_local_data_input
pit_topn_400_100_membership_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1140500.0,32.0,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,pass,True,raw_local_data_input
stock_daily_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4598.0,,,directory,pass,True,raw_local_data_input
benchmark_indices_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/index/benchmark_indices_daily.csv,6843.0,15.0,5a423eca433727c40eb59799301f31d49065bb17cd3bb49e61074af70d87e54d,pass,pass,True,raw_local_data_input
global_regime_calendar,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/11_archetype_proxy_validation_system_v0/outputs/publishable/tables/11A0_regime_pit_availability_audit/regime_daily_series_audit.csv,1912.0,7.0,8ec181dd392b20c1677c61c5a74f4d6bfa5609f78782057958c96ec63e600898,pass,pass,True,raw_local_data_input
upstream_12a7g_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/vol_scaled_label_separability_decision.csv,1.0,15.0,eb9544793f0b96b8f7cd6884ca38e1d1ae1e17078b6f8126e3c64f163d2714f8,pass,pass,True,upstream_12a7g_label_lineage
upstream_12a7g_label_formula,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/label_formula_audit.csv,75.0,12.0,c3e9df48dad00f0a1503709a5bf59fc241947b3d7b12b119848a61679e29f280,pass,pass,True,upstream_12a7g_label_lineage
upstream_12a7g_label_selection,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/label_selection_train_audit.csv,75.0,15.0,f7e7044fe75533c924068cab4c3ec9ae67dbd5877ada355acbf0ac6653f2c1f8,pass,pass,True,upstream_12a7g_label_lineage
upstream_12a7g_split_boundary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/full_universe_split_boundary_audit.csv,4.0,7.0,0fb6f08fa911e00136ddf910c19dab9a0df9da659c1a2850d09930aa54ab6678,pass,pass,True,upstream_12a7g_label_lineage
upstream_12a7g_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/manifests/12A7g_vol_scaled_label_panel_c0_separability_triage_manifest.json,,,b350d7b216c8b5c11059a881a2bd804dcdcf9243007ccf36c79a05dc2b47baca,pass,pass,True,upstream_12a7g_label_lineage
upstream_13a_config,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/configs/config_13a_full_pit_native_token_cartography_preflight.yaml,,,84b320f0d93763ffbc375724211e4d3d5e8a555040628f1832bd86b73fbaa04d,pass,pass,True,upstream_13a_lineage
upstream_13a_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/manifests/13A_full_pit_native_token_cartography_preflight_manifest.json,,,46df13114235ff6d596bebe4311fd812bc1ba46152278a29acfbb2c3b374fa44,pass,pass,True,upstream_13a_lineage
