feature_bank_v2_scope_id,fold_id,duplicate_cluster_id,feature_name,representative_feature_name,dropped_as_duplicate,correlation_method,duplicate_corr_abs_threshold,cluster_algorithm,pass
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0000,close_over_close_1d,gap_close_pct,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0000,gap_close_pct,gap_close_pct,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0000,ret_1d,gap_close_pct,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0000,return_slope_1d,gap_close_pct,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0001,gap_open_pct,gap_open_pct,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0001,open_close_ratio,gap_open_pct,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0002,close_over_close_10d,close_over_close_10d,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0002,ret_10d,close_over_close_10d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0002,return_slope_10d,close_over_close_10d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0003,close_over_close_20d,close_over_close_20d,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0003,ret_20d,close_over_close_20d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0003,return_slope_20d,close_over_close_20d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0004,close_over_close_2d,close_over_close_2d,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0004,ret_2d,close_over_close_2d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0004,return_slope_2d,close_over_close_2d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0005,close_over_close_3d,close_over_close_3d,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0005,ret_3d,close_over_close_3d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0005,return_slope_3d,close_over_close_3d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0006,close_over_close_5d,close_over_close_5d,False,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
v2_hygiene_fold_fold_2021,fold_2021,fold_2021_cluster_0006,ret_5d,close_over_close_5d,True,spearman_on_train_scope_rank_values,0.995,connected_components_on_abs_corr_graph,True
