feature_bank_v2_scope_id,fold_id,feature_family,v2_feature_count,feature_family_share,max_feature_family_share,family_coverage_after_hygiene,pass
v2_hygiene_fold_fold_2021,fold_2021,volume_money,19,0.2289156626506024,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,cross_section_rank,17,0.20481927710843373,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,price_distance,12,0.14457831325301204,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,volatility_range,12,0.14457831325301204,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,industry_market_context,8,0.0963855421686747,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,kbar_candle_shape,7,0.08433734939759036,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,rolling_return,6,0.07228915662650602,0.35,1.0,True
v2_hygiene_fold_fold_2021,fold_2021,launch_lifecycle_context,2,0.024096385542168676,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,volume_money,18,0.20689655172413793,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,cross_section_rank,17,0.19540229885057472,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,price_distance,16,0.1839080459770115,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,volatility_range,12,0.13793103448275862,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,industry_market_context,8,0.09195402298850575,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,rolling_return,7,0.08045977011494253,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,kbar_candle_shape,7,0.08045977011494253,0.35,1.0,True
v2_hygiene_fold_fold_2022,fold_2022,launch_lifecycle_context,2,0.022988505747126436,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,volume_money,26,0.24761904761904763,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,price_distance,20,0.19047619047619047,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,cross_section_rank,19,0.18095238095238095,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,volatility_range,14,0.13333333333333333,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,rolling_return,9,0.08571428571428572,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,industry_market_context,8,0.0761904761904762,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,kbar_candle_shape,7,0.06666666666666667,0.35,1.0,True
v2_hygiene_fold_fold_2023,fold_2023,launch_lifecycle_context,2,0.01904761904761905,0.35,1.0,True
